entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2017-12-04,local-authority-eng:HYN,29,"Wheatfield Mill, Wheatfield Street, Rishton",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,permissioned,,yes,53.77,-2.412,0.9,27,27,2016-06-22,,"Deliverable - Yes - part of 5YHLS
Planning permission 11/15/0399 is for this site and # 29 on register (Wheatfield Mill).
Further applications for discharge of conds.",f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-04,local-authority-eng:HYN,31,"Land off Knowles Road, Rishton",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,pending decision,,yes,53.766,-2.416,1.03,30,51,2016-06-22,,"Deliverable - Yes - part of 5YHLS
Application 11/17/0401 is for a larger site including the nearby playground to the East.",f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-04,local-authority-eng:HYN,30,"Parker Street, Rishton BB1 4JD",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,permissioned,,yes,53.769,-2.412,1.2,35,35,2016-06-22,,"Deliverable - Yes - part of 5YHLS
Planning permission 11/15/0399 is for this site and # 29 on register (Wheatfield Mill).
Further applications for discharge of conds.",f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-06,local-authority-eng:HYN,43,"Coronation Mill, Victoria Street, (bounded by Commercial St, Victoria St, and John St) Oswaldtwistle",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,permissioned,,yes,53.741,-2.399,1.12,43,43,2016-06-27,,Deliverable - Yes - part of 5YHLS,f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-06,local-authority-eng:HYN,58,"Rhoden Road, Builders Compound, Roe Greave Road, Oswaldtwistle",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,not permissioned,,yes,53.737,-2.399,0.31,9,12,2016-06-27,,"Deliverable - No - SHLAA C2
Site is partly vacant PDL land and partially a commercial services use. The site would make a logical site for residential development and if developed would enhance the surrounding amenity.",f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-06,local-authority-eng:HYN,98,"4 Elton Road, Belthorn",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,not permissioned,,yes,53.718,-2.425,0.48,14,19,2016-06-27,,Deliverable - No - SHLAA C2,f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-04,local-authority-eng:HYN,102,"Land off Spring Street, Rishton",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,permissioned,,yes,53.772,-2.414,1.02,42,42,2016-02-27,,"Deliverable - Yes - part of 5YHLS
Potentially constaminated site:Former cotton mills Spring Street",f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-06,local-authority-eng:HYN,104,"Former Service Station, Land off Manchester Road, Baxenden",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,not permissioned,,yes,53.732,-2.343,0.4,12,12,2016-06-27,,Deliverable - No - SHLAA C2,f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-04,local-authority-eng:HYN,105,"Chapel Street garage site, Abbey Street, Accrington",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,not permissioned,,yes,53.75,-2.361,0.3,9,15,2016-06-22,,"Deliverable - No - SHLAA C2
Flood Zone 2 -  not sufficient reason to exclude (i.e. Zone 3) as mitigation possible at technical consent stage. Coal Authority:DEVELOPMENT_HIGH_RISK_AREA",f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-06,local-authority-eng:HYN,108,"Land to NW of 64 New Lane, Oswaldtwistle",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,permissioned,,yes,53.739,-2.405,0.26,8,11,2016-06-27,,"Deliverable - Yes - part of 5YHLS

06/0027 OUTLINE APPLICATION FOR RESIDENTIAL DEVELOPMENT. A/C 04.10.2006 (Outline refers to 11 houses)",f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-04,local-authority-eng:HYN,115,"Site off Oak Street, Clayton-le-Moors",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,not permissioned,,yes,53.77,-2.384,0.28,7,11,2016-06-27,,"Deliverable - No - SHLAA C2
Site has a Listed Building occupying approx. 0.044 ha.11/10/0511 PP granted as part of larger scheme Clayton Triangle. Permission lapsed 10/05/2016",f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-04,local-authority-eng:HYN,152,"Union Works and Union Garage, Back Cotton Street, Accrington. BB5 3EX",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,not permissioned,,yes,53.75,-2.366,0.37,10,18,2016-06-28,,"Deliverable - No - SHLAA C2
Site identified through submission process - therefore assume willing owner.Constraints include: Previously Contaminated Land-Broad Oak Mills, CA DEVELOPMENT_LOW_RISK_AREA",f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-04,local-authority-eng:HYN,183,"Water Street, Great Harwood. BB6 7QR",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,permissioned,,yes,53.788,-2.403,0.37,12,12,2016-06-28,,"Deliverable - Yes - part of 5YHLS
Constraints include:  Potentially contaminated site Former Cotton Mills Central Great HarwoodCA High Risk Area",f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-04,local-authority-eng:HYN,199,"Steiner St, Accrington",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,owned by a public authority,not permissioned,,,53.755,-2.375,0.59,17,29,2016-06-30,,"Deliverable - Yes - part of 5YHLS
Owned by Hyndburn Borough Council.",f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-04,local-authority-eng:HYN,200,"York Street, Rishton",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,not permissioned,,yes,53.77,-2.418,0.55,16,27,2017-10-12,,Deliverable - Yes - part of 5YHLS,f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-06,local-authority-eng:HYN,201,"land at Brookside Industrial Estate, Brookside Lane, Oswaldtwistle",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,not permissioned,,yes,53.741,-2.409,4.09,122,204,2017-10-12,,Deliverable - No - SHLAA C2,f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-04,local-authority-eng:HYN,202,"1-11 Black Abbey Street & 104-108 Abbey Street, Accrington",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,not permissioned,,,53.751,-2.361,0.16,4,8,2017-10-11,,Deliverable - No - SHLAA C4,f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-06,local-authority-eng:HYN,203,"Turkey Red Industrial Estate, Manchester Road, Baxenden",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,not permissioned,,yes,53.73,-2.341,1.71,51,85,2017-10-11,,Deliverable - No - SHLAA C3,f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-04,local-authority-eng:HYN,204,"Former factory site, Wood Street, Great Harwood",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,mixed ownership,not permissioned,,,53.787,-2.393,2.22,66,88,2017-10-11,,"Deliverable - No - SHLAA C3
Land registry ref:LAN78281 Small section of site in HBC ownership",f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-04,local-authority-eng:HYN,205,"Land to the north and south of Britannia Street, Great Harwood",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,not permissioned,,yes,53.787,-2.405,1.39,41,69,2017-10-11,,Deliverable Yes - part of 5YHLS,f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-06,local-authority-eng:HYN,206,"Springfield Garage, Blackburn Road, Oswaldtwistle",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,not permissioned,,yes,53.751,-2.41,0.71,21,28,2017-10-11,,"Deliverable - No - SHLAA C2
Site has since had further permissions for 2 houses on sub divided site, but is now in full commercial use as bus depot. (Oct. 2017)",f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-04,local-authority-eng:HYN,207,"Land at Pollard Street, Accrington",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,permissioned,,,53.759,-2.362,0.19,12,12,2017-10-11,,"Deliverable - Yes - part of 5YHLS
Construction almost complete Dec.2017",f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-04,local-authority-eng:HYN,208,"Grand Social Club, Blackburn Road, Great Harwood",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,permissioned,,,53.784,-2.41,0.06,8,8,2017-10-11,,"Deliverable - Yes - part of 5YHLS
Social Club demolished.",f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-04,local-authority-eng:HYN,209,"The Lomax Hotel, Blackburn Road, Great Harwood",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,permissioned,,,53.784,-2.41,0.06,7,7,2017-10-11,,"Deliverable - Yes - part of 5YHLS
Further apps for discharge of conditions. Conversion almost complete Nov. 2017",f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
2017-12-04,local-authority-eng:HYN,210,"Waverledge Business Park, Waverledge Street, Great Harwood",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,,not owned by a public authority,permissioned,,yes,53.783,-2.412,0.92,42,42,2017-10-11,,Deliverable - Yes - part of 5YHLS,f7ae35df6f6ba80754bf6ded01768a50b55ca6d8a8c10ed777b6dd3a00d849d7
