address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,30/11/2018,,,,,,,,,,,,,,1.58,,,,,,,,,,,,,,,,,,36,36,,,,"""Development Brief prepared and out to market""",,,,,,local-authority-eng:SND,,owned by a public authority,,,,,,,,,https://www.sunderland.gov.uk/online-applications,not permissioned,,,,,,,,,,,,,,,,,,,,,,,98,"Ayton Village Primary School, Dunlin Drive, Ayton",https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,,,30/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,30/11/2018,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,14,14,,,,"""Permitted application ref. 16/02266/FU4""",,,,,,local-authority-eng:SND,,mixed ownership,,,,,,,,2017-06-14,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,B056,"High Usworth School, Well Bank Road",https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,,,30/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,30/11/2018,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,124,124,,,,"""Permitted application ref. 12/03140/FUL""",,,,,,local-authority-eng:SND,,not owned by a public authority,,,,,,,,2017-08-18,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,112,Site of former Broomhill Estate.,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,,,30/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,30/11/2018,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,12,12,,,,"""Permitted application ref. 16/00115/FU4""",,,,,,local-authority-eng:SND,,mixed ownership,,,,,,,,2016-11-28,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,312,"Former Junglerama, Victoria Road",https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,,,30/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/11/2018,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,9,9,,,,"""Development Brief prepared and out to market, with response to application ref. 10/02549/MNQ confirming residential development is acceptable in principle""",,,,,,local-authority-eng:SND,,owned by a public authority,,,,,,,,,https://www.sunderland.gov.uk/online-applications,pending decision,,,,,,,,,,,,,,,,,,,,,,,B448,Penshaw House,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,,,30/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,30/11/2018,,,,,,,,,,,,,,17.29,,,,,,,,,,,,,,,,,,250,250,,,,"""Permitted hybrid application ref. 14/00538/HYB - mixed-use development with Outline Planning Permission for up to 500 dwellings overall""",,,,,,local-authority-eng:SND,,not owned by a public authority,,,,,,,,2016-06-10,https://www.sunderland.gov.uk/online-applications,permissioned,other,,,,,,,,,,,,,,,,,,,,,,B330A,Philadelphia Complex,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,,,30/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,30/11/2018,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,7,7,,,,"""Permitted application ref. 14/02357/FUL. Part of Central Area Urban Design Strategy SPD""",,,,,,local-authority-eng:SND,,not owned by a public authority,,,,,,,,2015-07-07,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,660,63 Fawcett Street,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,,,30/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,30/11/2018,,,,,,,,,,,,,,27.67,,,,,,,,,,,,,,,,,,640,640,,,,"""Permitted hybrid application ref. 16/01524/HYB - Full Planning Permission for 304 dwellings, with Outline Planning Permission for 496 dwellings and an 80-bed care village. Part of South Sunderland Growth Area masterplan (Cherry Knowle) and draft SPD""",,,,,,local-authority-eng:SND,,mixed ownership,,,,,,,,,https://www.sunderland.gov.uk/online-applications,permissioned,other,,,,,,,,,,,,,,,,,,,,,,B062,Ryhope and Cherry Knowles Hospital,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,,,30/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/11/2018,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,,,,44,44,,,,"""Part of Farringdon Row Development Framework SPD and Central Area Urban Design Strategy SPD""",,,,,,local-authority-eng:SND,,mixed ownership,,,,,,,,,https://www.sunderland.gov.uk/online-applications,not permissioned,,,,,,,,,,,,,,,,,,,,,,,B078,Farringdon Row Phase 2-4,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,,,30/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/11/2018,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,72,72,,,,"""Part of Stadium Village Development Framework SPD masterplan and Central Area Urban Design Strategy SPD""",,,,,,local-authority-eng:SND,,mixed ownership,,,,,,,,,https://www.sunderland.gov.uk/online-applications,not permissioned,,,,,,,,,,,,,,,,,,,,,,,B080C,Stadium Village Site C,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,,,30/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
