address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,78,78,,,,,,,,,,local-authority-eng:HAT,,not owned by a public authority,,,,,,,,2016-03-23,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,15/01603/FUL,"Landata House, Station Road, Hook",https://publicaccess.hart.gov.uk/online-applications/,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-20,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,102,102,,,,,,,,,,local-authority-eng:HAT,,not owned by a public authority,,,,,,,,2016-05-31,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,16/03378/FUL,"Bartley House, Station Road, Hook",https://publicaccess.hart.gov.uk/online-applications/,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-20,,,,,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,109,109,,,,78 dwellings completed at 1 April 2018,,,,,,local-authority-eng:HAT,,not owned by a public authority,,,,,,,,2016-05-24,,permissioned,other,,,,,,,,,,,,,,,,,,,,,,16/00883/PRIOR 17/02465/FUL,"Providence House, 2 Bartley Way, Hook",https://publicaccess.hart.gov.uk/online-applications/,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,16,16,,,,,,,,,,local-authority-eng:HAT,,not owned by a public authority,,,,,,,,2013-12-03,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,13/00720/MAJOR,"Winchfield Lodge, Old Potbridge Road",https://publicaccess.hart.gov.uk/online-applications/,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,local-authority-eng:HAT,,not owned by a public authority,,,,,,,,2013-09-23,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,13/01215/MAJOR,"Lamb Hotel, High Street, Hartley Wintney",https://publicaccess.hart.gov.uk/online-applications/,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,local-authority-eng:HAT,,not owned by a public authority,,,,,,,,2015-09-10,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,15/01083/FUL,"Rose Court, Rye Common Lane",https://publicaccess.hart.gov.uk/online-applications/,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,local-authority-eng:HAT,,not owned by a public authority,,,,,,,,2015-07-01,,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,15/00276/REM,"Land rear of 102-108 Fleet Road, Fleet",https://publicaccess.hart.gov.uk/online-applications/,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,33,33,,,,,,,,,,local-authority-eng:HAT,,not owned by a public authority,,,,,,,,2015-10-14,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,15/01540/FUL,"Pioneer House, Unit 2 Fleetwood Park, Barley Way, Fleet",https://publicaccess.hart.gov.uk/online-applications/,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,local-authority-eng:HAT,,not owned by a public authority,,,,,,,,2016-11-14,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,16/01441/FUL,"Oak House, Harvest Crescent, Fleet",https://publicaccess.hart.gov.uk/online-applications/,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,31,31,,,,,,,,,,local-authority-eng:HAT,,not owned by a public authority,,,,,,,,2016-07-26,,permissioned,other,,,,,,,,,,,,,,,,,,,,,,16/01445/PRIOR,"Oak House, Harvest Crescent, Fleet",https://publicaccess.hart.gov.uk/online-applications/,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
