address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,1.34,,,,,,,,,,,,,,,,,,16,16,,,,,,,,,,,,not owned by a public authority,,,,,,,,2018-04-11,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,CBR001,"Adj Mill Hill Phase 2, Mill Hill, Cleator Moor",https://www.copeland.gov.uk/sites/default/files/attachments/cbr001_mill_hill_phase_2.pdf,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,not owned by a public authority,,,,,,,,2017-01-13,,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,CBR003,County Highways Depot Holborn Hill,https://www.copeland.gov.uk/sites/default/files/attachments/cbr003_former_highways_depot.pdf,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,not owned by a public authority,,,,,,,,2009-01-08,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,CBR004,Former Ashburners Compound Millom Road,https://www.copeland.gov.uk/sites/default/files/attachments/cbr004_former_ashburners_compound.pdf,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,17/12/2018,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,not owned by a public authority,,,,,,,,2018-05-01,,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,CBR005,Former Cinema Buildings Bookwell Street,https://www.copeland.gov.uk/sites/default/files/attachments/crb005_former_cinema_egremont.pdf,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,,48,48,,,,,,,,,,,,not owned by a public authority,,,,,,,,2007-02-07,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,CBR006,Former Lakeland Laundry,https://www.copeland.gov.uk/sites/default/files/attachments/cbr006_former_lakeland_laundary.pdf,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,17/12/2018,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,28,28,,,,,,,,,,,,not owned by a public authority,,,,,,,,,,pending decision,,,,,,,,,,,,,,,,,,,,,,,CBR007,Former Nightclub Meadow Road,https://www.copeland.gov.uk/sites/default/files/attachments/cbr007_former_nightclub_whitehaven.pdf,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,not owned by a public authority,,,,,,,,2013-09-23,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,CBR008,Former Outbuildings Seacote Hotel,https://www.copeland.gov.uk/sites/default/files/attachments/cbr008_former_outbuildings_0.pdf,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,17/12/2018,,,,,,,,,,,,,,1.26,,,,,,,,,,,,,,,,,,60,60,,,,,,,,,,,,not owned by a public authority,,,,,,,,2017-03-31,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,CBR009,Former Sekers Factory Main Street,https://www.copeland.gov.uk/sites/default/files/attachments/cbr009_former_sekers_factory_site_0.pdf,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/12/2018,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,25,25,,,,,,,,,,,,not owned by a public authority,,,,,,,,,,pending decision,,,,,,,,,,,,,,,,,,,,,,,CBR010,"Land at East Road, Egremont",https://www.copeland.gov.uk/sites/default/files/attachments/cbr010_land_at_east_road_egremont.pdf,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,1.55,,,,,,,,,,,,,,,,,,26,26,,,,,,,,,,,,not owned by a public authority,,,,,,,,2017-08-15,,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,CBR011,Land rear to Rusper Drive,https://www.copeland.gov.uk/sites/default/files/attachments/cbr011_land_rear_to_rusper_drive_0.pdf,,,31/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,
