address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-06,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,5,5,,,,"""An element of residential use would be considered alongside employment as part of a mixed use redevelopment of this employment site""",,,,,,national-park-authority:Q72617158,,owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BFS1,"""Former Magistratesí Court, Pikes Hill, Lyndhurst, SO43 7AY""",,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-06,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,national-park-authority:Q72617158,,owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BFS2,"""Garage Site, Foldsgate Close, Lyndhurst SO43 7BY""",,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-06,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,national-park-authority:Q72617158,,not owned by a public authority,,,,,,,,2018-11-20,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFS3,"""Redmayne Engineering Site, Station Approach, Brockenhurst, SO42 7TW""",,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-06,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,national-park-authority:Q72617158,,,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BFS4,"""Land at Railway Station, Brockenhurst, SO42 7TW""",,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-06,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,national-park-authority:Q72617158,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BFS5,"""Former Service Station, 128 Lyndhurst Road, Ashurst, SO40 7AS""",,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-06,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,18,18,,,,,,,,,,national-park-authority:Q72617158,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BFS6,"""Land adjoining Cranleigh Paddock Residential Home, Calpe Avenue, Lyndhurst, SO43 7EP""",,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-06,,,,,,,,,,,,,,1.61,,,,,,,,,,,,,,,,,,50,50,,,,"""Planning application refused; appeal lodged, public enquiry early 2019""",,,,,,national-park-authority:Q72617158,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BFS7,"""Lyndhurst Park Hotel, 78 High Street, Lyndhurst, SO43 7NL""",,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-06,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,1,1,,,,"""Planning application partly implemented""",,,,,,national-park-authority:Q72617158,,not owned by a public authority,,,,,,,,2005-08-15,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFS8,"""Oak Lodge Dental Surgery, Rhinefield Road, Brockenhurst, SO42 7SR""",,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-06,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,26,26,,,,"""Construction commenced 2018""",,,,,,national-park-authority:Q72617158,,not owned by a public authority,,,,,,,,2017-04-26,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFS9,"""Watersplash Hotel, The Rise, Brockenhurst, SO42 7ZP""",,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-06,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,national-park-authority:Q72617158,,not owned by a public authority,,,,,,,,2016-08-15,,permissioned,other,,,,,,,,,,,,,,,,,,,,,,BFS10,"""First and Second Floor, 49-49A High Street, Lyndhurst, SO43 7BE""",,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
