address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,2.93,,,,,,,,,,,,,,,,,,106,106,,,,,,,,,,,,not owned by a public authority,,,,,,,,2017-01-19,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2016/0084/F&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_11,"""Land off Lancaster Avenue, Carbrooke""",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0084_F%5C3PL_2016_0084_F-LP.pdf&module=pl,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,0.53,,,,,,,,,,,,,,,,,,21,21,,,,,,,,,,,,not owned by a public authority,,,,,,,,2016-05-24,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2015/0623/F&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_12,"""Dennys Walk, Narborough""",https://www.breckland.gov.uk/media/6184/BLR-12/pdf/BLR_12.pdf,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,0.55,,,,,,,,,,,,,,,,,,21,21,,,,Only part of the site has been included as the majority of the site falls outside of the district boundary.,,,,,,,,not owned by a public authority,,,,,,,,2016-06-06,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2014/1361/F&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_13,"""Land off Fengate Drove, Brandon""",https://www.breckland.gov.uk/media/6188/BLR-13/pdf/BLR_13.pdf,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,0.38,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,not owned by a public authority,,,,,,,,2016-07-29,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2016/0297/O&from=planningSearch,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_14,"""Low Meadow Park, Thompson Road, Griston""",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0297_O%5CSITE+LOCATION+A4.pdf&module=pl,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,0.31,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,not owned by a public authority,,,,,,,,2016-08-24,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2014/0328/O&from=planningSearch|http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2016/0534/O&from=planningSearch,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_15,"""SPK engineering, The Old Sawmills, Mileham""",https://www.breckland.gov.uk/media/6189/BLR-15/pdf/BLR_15.pdf,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,0.42,,,,,,,,,,,,,,,,,,29,29,,,,,,,,,,,,not owned by a public authority,,,,,,,,2016-11-23,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2016/0379/F&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_16,"""Land off Kimms Belt London Road, Thetford""",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0379_F%5C3PL_2016_0379_F-AM.pdf&module=pl,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,5.1,,,,,,,,,,,,,,,,,,136,136,,,,,,,,,,,,not owned by a public authority,,,,,,,,2015-07-08,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2014/1154/F&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_17,"""Land East of Brandon Road, Swaffham""",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2014_1154_F%5C3PL_2014_1154_F-LP.pdf&module=pl,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,0.3,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,not owned by a public authority,,,,,,,,2017-05-09,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2017/0288/F&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_18,"""Iceni Brewery, Foulden Road, Ickburgh""",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2017_0288_F%5C1616+03C+Proposed+Site+Plan.pdf&module=pl,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,4.8,,,,,,,,,,,,,,,,,,127,127,,,,,,,,,,,,not owned by a public authority,,,,,,,,2017-08-29,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2016/1454/H&from=planningSearch,permissioned,other,,,,,,,,,,,,,,,,,,,,,,BLR_19,"""The Old Maltings, Norwich Road, Dereham""",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_1454_H%5CPlanning+Application+Boundary.pdf&module=pl,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/02/2018,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,,,75,53,,,,Please refer to the Technical Details Constent Key Development considerations set out in the decision notice: http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=BLR/2017/0003/PIP&from=planningSearch,,,,,,,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BLR_20,"""The Old Maltings, Norwich Road, Dereham""",https://www.breckland.gov.uk/media/6190/BLR-20/pdf/BLR_20.pdf,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/02/2018,,,,,,,,,,,,,yes,2.5,,,,,,,,,,,,,,,,,,86,86,,,,Please refer to the Technical Details Constent Key Development considerations set out in the decision notice: http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=BLR/2017/0004/PIP&from=planningSearch,,,,,,,,not owned by a public authority,,,,,,,,2014-10-31,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2011/0489/O&from=planningSearch,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_21,"""Hamilton Acorn Ltd. Halford Road, Attleborough""",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2011_0489_O%5C3PL_2011_0489_O-LP.pdf&module=pl,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,1.8,,,,,,,,,,,,,,,,,,37,37,,,,,,,,,,,,not owned by a public authority,,,,,,,,2014-07-11,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2012/1045/O&from=planningSearch,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_22,"""Former Quantrills Industrial Estate, Church Street, Griston""",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2012_1045_O%5CChurch+Road+Griston+Location+Plan.pdf&module=pl,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,0.77,,,,,,,,,,,,,,,,,,19,19,,,,,,,,,,,,not owned by a public authority,,,,,,,,2014-07-03,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2013/1045/O&from=planningSearch,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_23,"""Station Yard, North Elmham""",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2013_1045_O%5C3PL_2013_1045_O-LP.pdf&module=pl,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,0.98,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,,,not owned by a public authority,,,,,,,,2014-12-12,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2014/0495/F&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_24,"""Horningham Welding & Fabrication Services, Kensington Forge, Mattishall""",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2014_0495_F%5C3PL_2014_0495_F-PLANS.pdf&module=pl,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,1.23,,,,,,,,,,,,,,,,,,90,90,,,,"The outline permission is kept live by the reserved matters application, which is yet to be determined (3PL/2017/0757/D: http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2017/0757/D&from=planningSearch)",,,,,,,,not owned by a public authority,,,,,,,,2014-06-18,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2013/0095/O&from=planningSearch,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_25,"""The Old Waggon & Horses, Chapel Street, Shipdham""",https://www.breckland.gov.uk/media/6191/BLR-25/pdf/BLR_25.pdf,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
