address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,17/01033/FUL - Demolition of former Community Centre and construction of 30 dwellings,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2019-05-29,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001ND6BMLI000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,CT9,"Hulston Site, Birch House Road, Chesterton, Newcastle-under-Lyme",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P1COTGBMMNA00,,,11/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,09/00155/FUL  - Demolition of existing public house and erection of seven dwellings,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2009-05-22,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001IMBBMLI000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,HD18,"London Road, Chesterton (Bennett Arms)",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=KGT5XUBM06A00,,,18/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,17/00968/FUL - Erection of 9 no. dwellings,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2018-04-10,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00013SBMLI000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,HM3,"Wrinehill Garage, Main Road, Betley",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0C7NOBMKXQ00,,,18/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,19/00117/FUL - Proposed demolition of existing Working Mens Club and the development of 7 new dwelling houses,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2019-04-05,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001DCVBMLI000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,HM9,"Minnie Close, Halmerend (Working Mens Club)",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PN6GFYBMMY100,,,12/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,Site promoted by registered provider,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,HM28,"Land off East Lawns, Betley",,,,12/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,18/00059/REM - 8 dwellings,,,,,,local-authority-eng:NEC,,owned by a public authority,,,,,,,,2018-03-27,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NBSAMEBM03Y00,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,KG15,"Former Garages at Gloucester Road, Kidsgrove",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P323PPBMI9400,,,18/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,18/00686/REM - Erection of 6 town houses,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2018-10-30,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001O4CBMLI000,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,KG16,"Lock Up Garages Sussex Drive, Kidsgrove",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PEJ7HOBMFQG00,,,18/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,11/00494/FUL - Development of new town houses. Now lapsed,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2011-12-23,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0016AHBMLI000,not permissioned,,,,,,,,,,,,,,,,,,,,,,,KG6,"William Road, Kidsgrove (site of the Galley PH)",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LRRZTZBM4V000,,,18/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,14.16,,,,,,,,,,,,,,,,,,,,,,,18/00262/REM - Erection of 100 dwellings,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2018-08-17,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=JE2HYOBMY3000,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,KL16,"Pepper Street, Keele",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P6CXZXBMGZH00,,,11/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,5.69,,,,,,,,,,,,,,,,,,,,,,,15/01004/FUL - Residential development of 83 dwellings,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2016-04-05,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001JW5BMLI000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,KL17,"The Hawthorns, Keele (West)",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NXN863BM02600,,,18/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,7.25,,,,,,,,,,,,,,,,,,,,,,,18/00698/FUL - Demolition of 732 student bed-spaces and the erection of 20 new buildings to provide 1685 student bedrooms (1706 student bed-spaces),,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2019-07-22,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001DFZBMLI000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,KL28,"Horwood Hall, Keele University",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PEU67UBM03400,,,12/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,3.66,,,,,,,,,,,,,,,,,,,,,,,18/00698/FUL - Demolition of 732 student bed-spaces and the erection of 20 new buildings to provide 1685 student bedrooms (1706 student bed-spaces),,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2019-07-22,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001DFZBMLI000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,KL29,"Lindsey Hall, Keele University",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PEU67UBM03400,,,12/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,5.25,,,,,,,,,,,,,,,,,,,,,,,18/00698/FUL - Demolition of 732 student bed-spaces and the erection of 20 new buildings to provide 1685 student bedrooms (1706 student bed-spaces),,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2019-07-22,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001DFZBMLI000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,KL30,"Barnes Hall, Keele University",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PEU67UBM03400,,,12/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,18/00932/FUL - Demolition of existing bungalows and construction of 30 affordable dwellings,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2019-04-26,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PTLN01BM03Y02,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,KS16,"The Forge, Knutton Lane, Knutton",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PIJR7HBMFHN00,,,12/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,09/00092/OUT - Erection of 24 dwelling houses. Now lapsed,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2019-07-03,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0014JLBMLI000,not permissioned,,,,,,,,,,,,,,,,,,,,,,,KS18,Land at Nash Street Knutton,,,,12/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,
