address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,24,24,,,,,,,,,,local-authority-eng:KHL,,owned by a public authority,,,,,,,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,Not Permissioned,,,,,,,,,,,,,,,,,,,,,,,BLR002,"""Egginton Street Car Park, Egginton Street, Hull Local Plan Housing Allocation H2, HU2 8BT""",http://hullcc.limehouse.co.uk/file/4808511,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,local-authority-eng:KHL,,not owned by a public authority,,,,,,,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,Not Permissioned,,,,,,,,,,,,,,,,,,,,,,,BLR007,"""Upper Floors 41 - 65 George Street (Upper Floors), Hull Local Plan Housing Allocation H7, HU1 3BA""",http://hullcc.limehouse.co.uk/file/4808525,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,local-authority-eng:KHL,,not owned by a public authority,,,,,,,,2014-12-05,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR008,"""25 - 27 Dock Street, Hull Local Plan Housing Allocation H8, HU1 3DL""",http://hullcc.limehouse.co.uk/file/4808530,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,local-authority-eng:KHL,,not owned by a public authority,,,,,,,,2016-07-25,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR027,"""177 Sharp Street (West End), Hull Local Plan Housing Allocation H27, HU5 2AD""",http://hullcc.limehouse.co.uk/file/4808528,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,13,13,,,,,,,,,,local-authority-eng:KHL,,not owned by a public authority,,,,,,,,2016-04-27,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR029,"""United Reformed Church and Car Park Holderness Road, Kingston Upon Hull, HU9 3DW""",http://hullcc.limehouse.co.uk/file/4808529,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,34,34,,,,,,,,,,local-authority-eng:KHL,,not owned by a public authority,,,,,,,,2016-11-15,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR030,"""Former Newland Primary School, Newland Avenue, Hull Local Plan Housing Allocation H30, HU5 3BG""",http://hullcc.limehouse.co.uk/file/4808527,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,20,20,,,,,,,,,,local-authority-eng:KHL,,not owned by a public authority,,,,,,,,2016-07-06,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR031,"""Former Tower Grange Police Station,  Holderness Road,Hull Local Plan Housing Allocation H31, HU8 9HP""",http://hullcc.limehouse.co.uk/file/4808535,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:KHL,,not owned by a public authority,,,,,,,,2015-01-29,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR035,"""121 - 123 Sharp Street, Kingston Upon Hull, HU5 2AE""",http://hullcc.limehouse.co.uk/file/4808537,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,82,82,,,,,,,,,,local-authority-eng:KHL,,not owned by a public authority,,,,,,,,2017-01-27,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR036,"""Land at former David Lister School, Hull Local Plan Housing Allocation H36, HU9 2PR""",http://hullcc.limehouse.co.uk/file/4808532,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,local-authority-eng:KHL,,owned by a public authority,,,,,,,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,Not Permissioned,,,,,,,,,,,,,,,,,,,,,,,BLR043,"""48 Pearson Park, Hull Local Plan Housing Allocation H43, HU5 2TG,""",http://hullcc.limehouse.co.uk/file/4808531,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
