address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,0.1235,,,,,,,,,,,,,,,,,,5,5,,,,", Whitmore Street, Maidstone",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,H1(22),,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,0.5147,,,,,,,,,,,,,,,,,,15,15,,,,", Bridge Industrial Centre, Wharf Road,, Tovil",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,H1(25),,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,May-19,,,,,,,,,,,,,,0.4728,,,,,,,,,,,,,,,,,,20,20,,,,", Tovil Working Men's Club, Tovil Hill,, Tovil",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,H1(26),,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,0.5092,,,,,,,,,,,,,,,,,,20,20,,,,", Bearsted Station Goods Yard, Bearsted, Maidstone",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,H1(30),,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,,,,,,25,25,,,,", Boughton Mount, Boughton Lane,, Boughton Monchelsea",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,H1(52),,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,May-19,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,28,25,,,,", Bentletts Yard, Claygate Road,, Laddingford",,,,,,local-authority-eng:MAI,,Part owned Kent Highway Services,,,,,,,,,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,16/501263,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,46.73,,,,,,,,,,,,,,,,,,1300,1300,,,,", Invicta Park Barracks, Sandling Road, Maidstone",,,,,,local-authority-eng:MAI,,Ministry of Defense,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,H2(2),,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Jun-18,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,25,25,,,,", Kent Cottage, Grigg Lane, Headcorn, Kent, TN27 9TD",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,completed,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,14/0487,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,3.13,,,,,,,,,,,,,,,,,,64,64,,,,", The Old Goods Yard, Headcorn Road,, Lenham",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,14/500219,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Jun-18,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,27,27,,,,", West of, Burial Ground Lane, Tovil",,,,,,local-authority-eng:MAI,,Kent Highways Service,,,,,,,,,,completed,full planning permission,,,,,,,,,,,,,,,,,,,,,,12/0980,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Jun-18,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,14,14,,,,", Gatland House, Gatland Lane, Maidstone, Kent, ME16 8PF",,,,,,local-authority-eng:MAI,,owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,13/1709,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,9,9,,,,", Woodford Farm, Maidstone Road, Staplehurst, Kent, TN12 0RH",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,15/506037,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,272,272,,,,", land at, Farleigh Hill,, Tovil, Maidstone, Kent",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,10/0256,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,May-19,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,192,192,,,,", Brenchley House,, 123 - 135 Week Street, Maidstone, Kent, ME14 1RF",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,completed,other,,,,,,,,,,,,,,,,,,,,,,17/500419,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,May-19,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,114,114,,,,", KCC Springfield Library Site,, Sandling Road, Maidstone, Kent",,,,,,local-authority-eng:MAI,,owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,09/0862,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,2.52,,,,,,,,,,,,,,,,,,108,108,,,,", Tovil Quarry Site,, Straw Mill Hill, Tovil, Kent, ME15 6FL",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,15/505441,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,May-19,,,,,,,,,,,,,,4.75,,,,,,,,,,,,,,,,,,113,113,,,,", Land South of, Ashford Road,, Harrietsham, Kent",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,completing,full planning permission,,,,,,,,,,,,,,,,,,,,,,14/0828,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,3.24,,,,,,,,,,,,,,,,,,77,77,,,,", The Maidstone Studios,, New Cut Road,, Maidstone, Kent, ME14 5NZ",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,completing,full planning permission,,,,,,,,,,,,,,,,,,,,,,14/500290,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Jun-18,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,53,53,,,,", 59 - 71 King Street, Maidstone, Kent, ME14 1BG",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,completed,full planning permission,,,,,,,,,,,,,,,,,,,,,,14/505005,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Jun-18,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,44,44,,,,", Bishops Terrace,, Bishops Way, Maidstone, Kent, ME14",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,completed,other,,,,,,,,,,,,,,,,,,,,,,16/503059,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Jun-18,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,43,43,,,,", Chaucer House,, 25 Knightrider Street, Maidstone, Kent, ME15 6ND",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,completed,other,,,,,,,,,,,,,,,,,,,,,,16/508694,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Jun-19,,,,,,,,,,,,,,5.48,,,,,,,,,,,,,,,,,,140,140,,,,", Bridge Nursery,, London Road, Maidstone, Kent",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,completed,full planning permission,,,,,,,,,,,,,,,,,,,,,,14/501209,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Jun-18,,,,,,,,,,,,,,5.64,,,,,,,,,,,,,,,,,,35,35,,,,", Land West of Eccleston Road,, Maidstone, Kent, ME15 6QP",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,completed,full planning permission,,,,,,,,,,,,,,,,,,,,,,10/1478,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,May-19,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,33,33,,,,", Cornwallis House,, Pudding Lane, Maidstone, Kent, ME14 1NY",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,Completed,other,,,,,,,,,,,,,,,,,,,,,,16/506325,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Jun-18,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,24,24,,,,", Lenham United Reformed Church,, Maidstone Road, Lenham, Kent, ME17 2QH",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,completed,full planning permission,,,,,,,,,,,,,,,,,,,,,,14/502152,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Jun-18,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,22,22,,,,", Land to The Rear Of Milton Street And Hartnup Street, Milton Street,, Maidstone, ME16 8LL",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,completed,full planning permission,,,,,,,,,,,,,,,,,,,,,,14/503755,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,18,18,,,,", Sign Trade Supplies, Britannia House,, Granville Road,, Maidstone",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,15/504114,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,May-19,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,17,17,,,,", Barker Chambers,, Barker Road, Maidstone, Kent, ME16 8SF",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,completed,other,,,,,,,,,,,,,,,,,,,,,,16/501713,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Jun-18,,,,,,,,,,,,,,2.49,,,,,,,,,,,,,,,,,,16,16,,,,", Former Syngenta Works,, Hampstead Lane, Yalding, Kent",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,completed,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,17/506006,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
