address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,2.39569,,,,,,,,,,,,,,,,,,97,97,,,,"The amended scheme (P15/S2956/FUL) results in an additional assisted unit, therefore the proposal includes a 64 bed care home, 34 assisted living units and 12 key worker apartments which totals 110 units overall. However, a care home (Use Class C2) is calculated as 80% of the total (therefore 0.8*64=51). Therefore the overall capacity is 46+51=97.",,,,,,local-authority-eng:SOX,,not owned by a public authority,,,,,,,,2013-03-19,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,P12/S1424/FUL,Townlands Hospital York Road HENLEY-ON-THAMES RG9 2EB,,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,9.7,,,,,,,,,,,,,,,,,,280,280,,,,Minimum net dwellings is based on the planning application(P15/S1880/O) as it has a resolution to grant permission. Only the dwellings within South Oxfordshire have been included in the total.,,,,,,local-authority-eng:SOX,,not owned by a public authority,,,,,,,,,,pending decision,outline planning permission,,,,,,,,,,,,,,,,,,,,,,"P15/S1880/O
(SHELAA: 184)",Didcot A,,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,0.008996,,,,,,,,,,,,,,,,,,20,20,,,,Partially Brownfield site. Forms part of a larger site overall.,,,,,,local-authority-eng:SOX,,not owned by a public authority,,,,,,,,2017-05-03,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,P15/S2685/FUL,"Woodcote NDP Site 16: Former Reservoir site, Greenmore",,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,9,9,,,,Partially Brownfield site. Forms part of a larger site overall.,,,,,,local-authority-eng:SOX,,not owned by a public authority,,,,,,,,2017-06-29,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,P16/S0375/FUL,"Woodcote NDP Site 02: Woodcote Garden Centre, Reading Road",,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,0.148094,,,,,,,,,,,,,,,,,,23,23,,,,Partially Brownfield site. Forms part of a larger site overall.,,,,,,local-authority-eng:SOX,,not owned by a public authority,,,,,,,,2017-05-30,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,P16/S1227/FUL,JHHNDP Site U: Wilkins Yard Deanfield Avenue HENLEY-ON-THAMES Oxon RG9 1UE,,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,local-authority-eng:SOX,,not owned by a public authority,,,,,,,,2017-04-28,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,"P16/S3922/FUL
(SHELAA 200)","Atalanta Garage, Beggars bush Hill, Benson  OX10 6PL",,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,0.1819485,,,,,,,,,,,,,,,,,,20,20,,,,The minimum number of net dwellings is 20 as it is based on both a prior approval and a permission. The prior approval relates to the change of use of the building to 14 apartments (P16/S4085/PDO) and the permission relates to the conversion of the roof into six flats (P16/S4117/FUL). The two schemes can both be built out on the site.,,,,,,local-authority-eng:SOX,,not owned by a public authority,,,,,,,,,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,P16/S4117/FUL,"40 Oakley Road, Chinnor, Oxon, OX39 4ES",,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:SOX,,not owned by a public authority,,,,,,,,2017-05-19,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,"P16/S4177/FUL
(SHELAA 401)","Bloom Buildings, West End, Cholsey, OX10 9LR",,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,0.097588,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,local-authority-eng:SOX,,not owned by a public authority,,,,,,,,2017-05-24,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,P16/S4234/FUL,"Northfield House, 11 Northfield End, HENLEY-ON-THAMES, RG9 2JG",,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-22,,,,,,,,,,,,,,0.5252466,,,,,,,,,,,,,,,,,,5,5,,,,Partially Brownfield site. Forms part of a larger site overall.,,,,,,local-authority-eng:SOX,,not owned by a public authority,,,,,,,,2017-06-27,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,P17/S0259/FUL,The Mill at Sonning (Theatre) Ltd Sonning Eye  RG4 6TY,,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
