OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/teignbridge,BFR001,"Glendaragh, Barn Park Road, Teignmouth TQ14 8PN",-6.81015,52.448501,,0.26,not owned by a public authority,,permissioned,,,,15,15,,Part of this site was started in 2002,2017-11-01,2018-12-21,
http://opendatacommunities.org/id/district-council/teignbridge,BFR002,"Rosemary Avenue, Newton Abbot TQ12 1SB",-6.82344,52.36297,,0.12,not owned by a public authority,,permissioned,,,,6,6,,Groundworks commenced keeping this live,2017-11-01,2018-12-21,
http://opendatacommunities.org/id/district-council/teignbridge,BFR003,"Platway House, Torquay Road, Shaldon TQ14 0AU",-6.825044,52.435772,,0.47,not owned by a public authority,,permissioned,,,,9,9,,started,2017-11-01,2018-12-21,
http://opendatacommunities.org/id/district-council/teignbridge,BFR004,"Shapters Yard, Strand Hill, Dawlish EX7 9PS",-6.760701,52.468151,,0.04,not owned by a public authority,,permissioned,,,,9,9,,completed,2017-11-01,2018-12-21,
http://opendatacommunities.org/id/district-council/teignbridge,BFR005,"Former Wolborough Hospital, Old Totnes Road, Newton Abbot TQ12 6AA",-6.845919,52.365161,,1.14,not owned by a public authority,,permissioned,,,,15,15,,started,2017-11-01,2018-12-21,
http://opendatacommunities.org/id/district-council/teignbridge,BFR006,"Holcombe Hall, Holcombe Drive, Dawlish EX7 0JW",-6.789523,52.461955,,0.73,not owned by a public authority,,permissioned,,,,7,7,,completed,2017-11-01,2018-12-21,
http://opendatacommunities.org/id/district-council/teignbridge,BFR007,"14 Barton Villas, Dawlish EX7 9QJ",-6.762446,52.461809,,0.04,not owned by a public authority,,permissioned,,,,5,5,,started,2017-11-01,2018-12-21,
http://opendatacommunities.org/id/district-council/teignbridge,BFR008,"22-26 Wolborough Street, Newton Abbot TQ12 1JJ",-6.832215,52.370763,,0.18,not owned by a public authority,,permissioned,,,,38,38,,started,2017-11-01,2018-12-21,
http://opendatacommunities.org/id/district-council/teignbridge,BFR009,"Clay Lane, Teignmouth TQ14 8FW",-6.813612,52.443384,,0.08,not owned by a public authority,,permissioned,,,,21,21,,2 phase scheme part 1 completed in 2009 - this phase started,2017-11-01,2018-12-21,
http://opendatacommunities.org/id/district-council/teignbridge,BFR010,"land at Ilford Park, Stover, Newton Abbot TQ12 6PW",-6.777522,52.34597,,26.45,not owned by a public authority,,permissioned,,,,23,23,,,2017-11-01,2018-12-21,
http://opendatacommunities.org/id/district-council/teignbridge,BFR011,"5 George Street, Teignmouth TQ14 8AH",-6.815807,52.446092,,0.03,not owned by a public authority,,permissioned,,,,8,8,,started,2017-11-01,2018-12-21,
http://opendatacommunities.org/id/district-council/teignbridge,BFR012,"17 Bank Street, Newton Abbot TQ12 2JL",-6.831063,52.371116,,0.04,not owned by a public authority,,permissioned,,,,7,7,,started,2017-11-01,2018-12-21,
http://opendatacommunities.org/id/district-council/teignbridge,BFR013,"Littlehayes, 9 East Cliff Road, Dawlish EX7 0BP",-6.758312,52.469768,,0.14,not owned by a public authority,,permissioned,,,,9,9,,completed,2017-11-01,2018-12-21,
http://opendatacommunities.org/id/district-council/teignbridge,BFR014,"RMS Motors, Pottery Road, Bovey Tracey TQ13 9DS",-6.741951,52.336645,,0.51,not owned by a public authority,,permissioned,,,,14,14,,completed,2017-11-01,2018-12-21,
http://opendatacommunities.org/id/district-council/teignbridge,BFR015,"Shell Cove House, 19 Old Teignmouth Road, Dawlish EX7 0NJ",-6.776912,52.464392,,2.8,not owned by a public authority,,permissioned,,,,34,34,,started 2 applications,2017-11-01,2018-12-21,
http://opendatacommunities.org/id/district-council/teignbridge,BFR016,"Langdon Hospital, Dawlish EX7 0NS",-6.732849,52.468506,,11.11,not owned by a public authority,,permissioned,,,,34,34,,only approx 1.04 ha brownfield,2017-11-01,2018-12-21,
http://opendatacommunities.org/id/district-council/teignbridge,BFR017,"Bishop Dunstan School, 16 South Road, Newton Abbot TQ12 1HH",-6.840898,52.371522,,2.73,not owned by a public authority,,permissioned,,,,27,27,,started,2017-11-01,2018-12-21,
