address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,combined-authority,company,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,latitude,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,longitude,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,script,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,timestamp,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,DevelopmentDescription,SiteInformation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/castle-point,Castle Point Borough Council,CP0001,"""Land at Foksville Road, Canvey Island.""",0.596186,51.522268,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0001map.pdf,0.14,not owned by a public authority,,permissioned,outline planning permission,2017-03-08,https://publicaccess.castlepoint.gov.uk/online-applications/,10,10,10,yes,Outline permission granted. Works have not commenced. Permission expires 8/3/2012. Delivery lead in time 1.5 years.  08/11/17.,08/11/2017,08/11/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/castle-point,Castle Point Borough Council,CP0002,"""Vallee Casa, 62 Hill Road, Benfleet.""",0.570424,51.559444,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0002map.pdf,0.28,not owned by a public authority,,not permissioned,,,,5,5,5,yes,No current planning permission. Delivery lead in time 1.5 years.  08/11/17.,08/11/2017,08/11/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/castle-point,Castle Point Borough Council,CP0003,"""166-168 Kiln Road, Benfleet, SS7 1SU.""",0.588983,51.560489,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0003map.pdf,0.08,not owned by a public authority,,pending decision,full planning permission,,https://publicaccess.castlepoint.gov.uk/online-applications/,2,2,2,yes,Previous permission for 9 flats expired 2012. New planning application submitted by agent pending decision. One existing dwelling converted. Delivery lead in time 2 years without planning permission. 14/11/17.,08/11/2017,14/11/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/castle-point,Castle Point Borough Council,CP0004,"""1a Clarence Road, South Benfleet, Benfleet SS7 1DE.""",0.56414,51.555214,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0004map.pdf,0.11,not owned by a public authority,,permissioned,full planning permission,2017-08-11,https://publicaccess.castlepoint.gov.uk/online-applications/,1,1,1,yes,Full planning permission granted. Works have not commenced (Due to commence Dec 2017). Existing dwelling to be demolished. Permission expires 10/08/2020. Delivery lead in time 1 year.  09/11/17.,09/11/2017,09/11/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/castle-point,Castle Point Borough Council,CP0005,"""Job Centre, 140 Furtherwick Road, Canvey Island.""",0.592569,51.519425,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0005map.pdf,0.13,not owned by a public authority,,not permissioned,,,,15,15,15,yes,No current planning permission. Delivery lead in time 2 years.  09/11/17.,09/11/2017,09/11/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/castle-point,Castle Point Borough Council,CP0006,"""84 Vicarage Hill, Benfleet SS7 1PE.""",0.569148,51.549178,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0006map.pdf,0.28,not owned by a public authority,,permissioned,full planning permission,2016-04-28,https://publicaccess.castlepoint.gov.uk/online-applications/,2,2,2,yes,Full planning permission granted. Works have not commenced. Existing dwelling to be demolished. Permission expires 28/04/2019. Delivery lead in time 1 year.  09/11/17.,09/11/2017,09/11/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/castle-point,Castle Point Borough Council,CP0007,"""240-244 High Road, Benfleet.""",0.561664,51.553173,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0007map.pdf,0.19,not owned by a public authority,,permissioned,full planning permission,2016-12-08,https://publicaccess.castlepoint.gov.uk/online-applications/,19,19,19,yes,Full planning permission. Works have commenced. Delivery lead in time 1 year. 09/11/17.,09/11/2017,09/11/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/castle-point,Castle Point Borough Council,CP0008,"""Site adjacent to Pauls Court, Meppel Avenue, Canvey Island.""",0.585962,51.531522,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0008map.pdf,0.07,not owned by a public authority,,permissioned,full planning permission,2015-06-11,https://publicaccess.castlepoint.gov.uk/online-applications/,5,5,5,yes,Full planning permission. Works have commenced. Existing dwelling demolished. Delivery lead in time 1 year. 09/11/17.,09/11/2017,09/11/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/castle-point,Castle Point Borough Council,CP0009,"""271 Rayleigh Road, Thundersley, Benfleet SS7 3XF.""",0.596557,51.566344,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0009map.pdf,0.08,not owned by a public authority,,permissioned,full planning permission,2016-09-15,https://publicaccess.castlepoint.gov.uk/online-applications/,16,16,16,yes,Full planning permission. Works have commenced. Delivery lead in time 1 year. 09/11/17.,09/11/2017,09/11/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/castle-point,Castle Point Borough Council,CP0010,"""20 Haresland Close, Hadleigh, SS7 2UT.""",0.618843,51.565675,https://apps.castlepoint.gov.uk/cpapps/view/planning/brownfieldsites/docs/cp0010map.pdf,0.56,not owned by a public authority,,not permissioned,,,,3,3,3,yes,No current planning permission. Lead in time 1.5 years. Existing dwelling would need to be demolished. Paragraph 89 of NPPF applied in terms of suitable capacity for the site. 14/11/17.,09/11/2017,09/11/2017,,,
