OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/1,Harrow Road,-0.240301,51.53246,https://data.london.gov.uk/,1.6,owned by a public authority,,not permissioned,,,,700,700,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/2,2 Scrubs Lane,-0.237725,51.531963,https://data.london.gov.uk/,0.1,not owned by a public authority,,permissioned,,,,85,85,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/3,Car Giant,-0.239694,51.527272,https://data.london.gov.uk/,9.7,not owned by a public authority,,not permissioned,,,,5300,5300,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/4,EMR,-0.241983,51.529977,https://data.london.gov.uk/,1.8,owned by a public authority,,not permissioned,,,,1100,1100,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/5,Cumberland Business Park,-0.23737,51.529215,https://data.london.gov.uk/,1.1,not owned by a public authority,,not permissioned,,,,300,300,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/6,North Kensington Gate North,-0.235402,51.527993,https://data.london.gov.uk/,0.2,not owned by a public authority,,permissioned,,,,47,47,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/7,Mitre Yard,-0.235433,51.527194,https://data.london.gov.uk/,0.5,not owned by a public authority,,permissioned,,,,200,200,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/8,North Kensington Gate South,-0.234356,51.526645,https://data.london.gov.uk/,0.1,not owned by a public authority,,permissioned,,,,164,164,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/9,Mitre Wharf,-0.234097,51.526241,https://data.london.gov.uk/,0.1,not owned by a public authority,,not permissioned,,,,100,100,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/10,Willesden Junction Depot,-0.239968,51.531449,https://data.london.gov.uk/,0.2,owned by a public authority,,not permissioned,,,,100,100,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/11,2 Victoria Terrace,-0.256048,51.524965,https://data.london.gov.uk/,,not owned by a public authority,,not permissioned,,,,10,10,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/12,Oaklands North,-0.248928,51.527815,https://data.london.gov.uk/,0.7,owned by a public authority,,not permissioned,,,,200,200,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/13,"Oaklands, Old Oak Common Lane, London, NW10 6DU",-0.249166,51.527171,https://data.london.gov.uk/,1,not owned by a public authority,,permissioned,,,,605,605,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/14,Old Oak Common Lane sites (North),-0.25077,51.52655,https://data.london.gov.uk/,0.6,mixed ownership,,not permissioned,,,,300,300,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/15,Old Oak Common Station and surroundings,-0.24598,51.52632,https://data.london.gov.uk/,12.3,mixed ownership,,not permissioned,,,,350,350,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/16,Big Yellow Storage,-0.233539,51.5249,https://data.london.gov.uk/,0.2,not owned by a public authority,,not permissioned,,,,50,50,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/17,Mitre Industrial Estate,-0.230991,51.5245,https://data.london.gov.uk/,0.9,not owned by a public authority,,not permissioned,,,,200,200,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/18,Tea Crate,-0.231601,51.52371,https://data.london.gov.uk/,0.4,not owned by a public authority,,not permissioned,,,,150,150,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/19,Acton Wells,-0.255338,51.52456,https://data.london.gov.uk/,3.5,not owned by a public authority,,not permissioned,,,,1300,1300,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/20,Boden House,-0.25665,51.52378,https://data.london.gov.uk/,0.7,not owned by a public authority,,not permissioned,,,,300,300,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/21,Midland Gate,-0.253385,51.525368,https://data.london.gov.uk/,0.2,not owned by a public authority,,not permissioned,,,,50,50,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/22,"Holbrook House, Victoria Road Acton W3 6UW",-0.258666,51.522915,https://data.london.gov.uk/,0.1,not owned by a public authority,,permissioned,,,,424,424,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/23,"Perfume Factory North, 140 Wales Farm Road, Acton W3 6UG",-0.257501,51.52227,https://data.london.gov.uk/,0.5,not owned by a public authority,,pending decision,,,,250,250,,Permission subject to s106,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/24,Victoria Estate,-0.257258,51.520648,https://data.london.gov.uk/,1.7,not owned by a public authority,,not permissioned,,,,1100,1100,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/25,"6 Portal West, North Acton W3 6RU",-0.262053,51.522109,https://data.london.gov.uk/,0.6,not owned by a public authority,,permissioned,,,,580,580,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/26,Carphone Warehouse 1 Portal Way Acton W3 6RT,-0.260823,51.521577,https://data.london.gov.uk/,1.1,not owned by a public authority,,permissioned,,,,760,760,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/27,"The Portal, The Portal Land At Wales Farm Road & Portal Way. Acton W3 6EJ",-0.259372,51.522012,https://data.london.gov.uk/,0.1,mixed ownership,,pending decision,,,,350,350,,Permission is subject to S106 being agreed,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/28,"Perfume Factory South, 140 Wales Farm Road, Acton W3 6UG",-0.258008,51.521764,https://data.london.gov.uk/,0.5,not owned by a public authority,,permissioned,,,,250,250,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/29,Algerian Embassy,-0.262619,51.52168,https://data.london.gov.uk/,0.4,not owned by a public authority,,not permissioned,,,,200,200,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/30,"2 Portal Way, Acton W3 6RT",-0.261495,51.52073,https://data.london.gov.uk/,0.2,not owned by a public authority,,pending decision,,,,300,300,,Permission is subject to S106 being agreed,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/31,3 Portal Way,-0.262254,51.520037,https://data.london.gov.uk/,0.2,not owned by a public authority,,not permissioned,,,,100,100,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/32,Big Yellow Storage (Wales Farm Road),-0.26154,51.51957,https://data.london.gov.uk/,0.5,not owned by a public authority,,not permissioned,,,,50,50,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/33,Westway Estate,-0.253067,51.520129,https://data.london.gov.uk/,3.7,not owned by a public authority,,not permissioned,,,,1400,1400,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/34,Old Oak Common Lane sites,-0.251536,51.521258,https://data.london.gov.uk/,0.6,mixed ownership,,not permissioned,,,,350,350,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/35,"ASDA, Park Royal",-0.269333,51.52842,https://data.london.gov.uk/,4,not owned by a public authority,,not permissioned,,,,500,500,,,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/36,247 Acton Lane,-0.258556,51.534934,https://data.london.gov.uk/,0.3,not owned by a public authority,,pending decision,,,,150,150,,Permission is subject to S106 being agreed,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/37,First Central and surrounds,-0.282546,51.530042,https://data.london.gov.uk/,2.7,not owned by a public authority,,permissioned,,,,393,393,,This site includes an extant pemission for a hotel to the south of Coronation Road which has not been built out,2017-12-15,2018-12-15,
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,OPDC/BLR/38,"First Central, Lakeside Drive",-0.282546,51.530042,https://data.london.gov.uk/,2.4,not owned by a public authority,,permissioned,,,,807,807,,,2018-12-15,2018-12-15,
