address,address-text,deliverable,end-date,entry-date,hazardous-substances,hectares,latitude,longitude,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,site-plan-url,start-date
,,,,,,,,,,,,,,,,,,,,,,"Coombe Valley Road, Dover",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR61-16.pdf,0.74,,,,,,,,,,,Under Construction - forms part of a wider allocated site (LA8 - land in Coombe Valley),20/06/2016,20/06/2016,,,
,,,,,,,,,,,,,,,,,,,,,,Land north of River Stour & including part of Sandwich Industrial Estate,,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR68-16.pdf,12.2,,,,,,,,,,,Under Construction,20/06/2016,20/06/2016,,,
,,,,,,,,,,,,,,,,,,,,,,"Old Folkestone Road, Aycliffe",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR71-16.pdf,0.15,,,,,,,,,,,,20/06/2016,20/06/2016,,,
,,,,,,,,,,,,,,,,,,,,,,"Discovery Park, Ramsgate Road, Sandwich",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR87-16.pdf,72.3,,,,,,,,,,,Not Started - the housing on this site forms part of a wider mixed use application on a predominantly brownfield site. Expiry date extended from 3 years for approval of reserved matters to 10 years from date of decision,20/06/2016,20/06/2016,,,
,,,,,,,,,,,,,,,,,,,,,,"Former council yard, Molland Lea, Ash",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR89-16.pdf,0.16,,,,,,,,,,,,20/06/2016,20/06/2016,,,
,,,,,,,,,,,,,,,,,,,,,,"The Old Sorting Office, Charlton Green, Dover, CT16 1AP",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR129-16.pdf,0.69,,,,,,,,,,,Not Started,20/06/2016,20/06/2016,,,
,,,,,,,,,,,,,,,,,,,,,,"Albany Place Car Park, Dover",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR130-16.pdf,0.4,,,,,,,,,,,,20/06/2016,20/06/2016,,,
,,,,,,,,,,,,,,,,,,,,,,"Coombe Valley, Dover",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR133-16.pdf,6.78,,,,,,,,,,,Allocated site - part of the site has already been granted permission. See BR60-16 and BR61-16 below. A third application on the Former Motorline Line Site in Coombe Valley has been completed https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_213882. Min homes has been adjusted to take account of this.,20/06/2016,20/06/2016,,,
,,,,,,,,,,,,,,,,,,,,,,"Land off Dunedin Drive, Dover",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR135-16.pdf,0.26,,,,,,,,,,,,20/06/2016,20/06/2016,,,
,,,,,,,,,,,,,,,,,,,,,,"East Studdal Nursery, Downs Road, East Studdal",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR171-16.pdf,1,,,,,,,,,,,,20/06/2016,20/06/2016,,,
,,,,,,,,,,,,,,,,,,,,,,"Eastry Hospital, Mill Lane, Eastry",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR173-16.pdf,3.29,,,,,,,,,,,,20/06/2016,20/06/2016,,,
,,,,,,,,,,,,,,,,,,,,,,"The Old Chalk Pit, Heronden Road, Eastry",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR174-16.pdf,0.68,,,,,,,,,,,,20/06/2016,20/06/2016,,,
,,,,,,,,,,,,,,,,,,,,,,"Prima Windows, Easole Street, Nonington",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR181-16.pdf,1.14,,,,,,,,,,,,20/06/2016,20/06/2016,,,
,,,,,,,,,,,,,,,,,,,,,,"Connaught Barracks, Dover Road, Guston, CT16 1HL",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR219-16.pdf,10.12,,,,,,,,,,,Not Started,20/06/2016,20/06/2016,,,
,,,,,,,,,,,,,,,,,,,,,,"Former Connaught Barracks, Dover Road, Guston, CT16 1HL",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR225-17.pdf,2.38,,,,,,,,,,,Not Started - forms part of a wider allocated site (CP10) in the Core Strategy (2010),07/12/2017,07/12/2017,,,
,,,,,,,,,,,,,,,,,,,,,,"Buckland Paper Mill, Crabble Hill, Dover",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR220-16.pdf,4,,,,,,,,,,,Approx third of the site has the benefit of full planning permission (BR62-16). The remainder of the site is an allocated site.,20/06/2016,20/06/2016,,,
,,,,,,,,,,,,,,,,,,,,,,"Land at Salvatori, North and South of Grove Road, Preston, CT3 1EF",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR227-17.pdf,5.07,,,,,,,,,,,Under Construction,18/12/2017,18/12/2017,,,
,,,,,,,,,,,,,,,,,,,,,,"Southern Water Pumping Station, St Richards Road, Deal",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR229-17.pdf,0.33,,,,,,,,,,,Not Started,18/12/2017,18/12/2017,,,
,,,,,,,,,,,,,,,,,,,,,,"Ambulance Depot, Winchelsea Road, Dover, CT17 9TT",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR233-17.pdf,0.2,,,,,,,,,,,Not Started,18/12/2017,18/12/2017,,,
