address,address-text,deliverable,end-date,entry-date,hazardous-substances,hectares,latitude,longitude,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,site-plan-url,start-date
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/01603/FUL,"""Landata House, Station Road, Hook""",472559,153729,https://publicaccess.hart.gov.uk/online-applications/,0.55,Not owned by a public authority,,permissioned,,,,78,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/00571/PRIOR 16/03378/FUL,"""Bartley House, Station Road, Hook""",472589,153643,https://publicaccess.hart.gov.uk/online-applications/,0.6,Not owned by a public authority,,permissioned,,,,53,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/00883/PRIOR,"""Providence House, 2 Bartley Way, Hook""",473070,153820,https://publicaccess.hart.gov.uk/online-applications/,1.69,Not owned by a public authority,,permissioned,,,,107,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,13/00720/MAJOR,"""Winchfield Lodge, Old Potbridge Road""",475595,154818,https://publicaccess.hart.gov.uk/online-applications/,0.98,Not owned by a public authority,,permissioned,,,,16,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,13/01215/MAJOR,"""Lamb Hotel, High Street, Hartley Wintney""",476827,157049,https://publicaccess.hart.gov.uk/online-applications/,0.25,Not owned by a public authority,,permissioned,,,,11,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/01083/FUL,"""Rose Court, Rye Common Lane, Crondall""",478382,150325,https://publicaccess.hart.gov.uk/online-applications/,0.3,Not owned by a public authority,,permissioned,,,,14,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/00276/REM,"""Land rear of 102-108 Fleet Road, Fleet""",480947,154378,https://publicaccess.hart.gov.uk/online-applications/,0.09,Not owned by a public authority,,permissioned,,,,12,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/00275/FUL,"""18 Church Road, Fleet""",480997,154343,https://publicaccess.hart.gov.uk/online-applications/,0.08,Not owned by a public authority,,permissioned,,,,10,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/00032/PRIOR,"""Consort House, 46-48 Albert Street, Fleet""",481065,154353,https://publicaccess.hart.gov.uk/online-applications/,0.04,Not owned by a public authority,,permissioned,,,,6,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/00796/PRIOR,"""Consort House, 46-48 Albert Street, Fleet""",481065,154354,https://publicaccess.hart.gov.uk/online-applications/,0.04,Not owned by a public authority,,permissioned,,,,7,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/00828/PRIOR,"""115-123 Fleet Road, Fleet""",481114,154511,https://publicaccess.hart.gov.uk/online-applications/,0.14,Not owned by a public authority,,permissioned,,,,6,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/03413/PRIOR,"""115-123 Fleet Road, Fleet""",481114,154511,https://publicaccess.hart.gov.uk/online-applications/,0.14,Not owned by a public authority,,permissioned,,,,12,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/03411/PRIOR,"""111-113 Fleet Road, Fleet""",481137,154527,https://publicaccess.hart.gov.uk/online-applications/,0.1,Not owned by a public authority,,permissioned,,,,12,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,14/02101/MAJOR,93 Fleet Road,481233,154651,https://publicaccess.hart.gov.uk/online-applications/,0.17,Not owned by a public authority,,permissioned,,,,10,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/01540/FUL,"""Pioneer House, Unit 2 Fleetwood Park, Barley Way, Fleet""",481551,156129,https://publicaccess.hart.gov.uk/online-applications/,0.48,Not owned by a public authority,,permissioned,,,,33,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/00828/FUL,"""Former Auxiliary Stores Unit, Former Queen Elizabeth Barracks, Naishes Lane, Fleet""",481750,151444,https://publicaccess.hart.gov.uk/online-applications/,0.75,Not owned by a public authority,,permissioned,,,,16,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/01441/FUL,"""Oak House, Harvest Crescent, Fleet""",481957,156103,https://publicaccess.hart.gov.uk/online-applications/,0.61,Not owned by a public authority,,permissioned,,,,14,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/01445/PRIOR,"""Oak House, Harvest Crescent, Fleet""",481957,156103,https://publicaccess.hart.gov.uk/online-applications/,0.61,Not owned by a public authority,,permissioned,,,,31,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,13/02633/MAJOR,"""Guillemont Park, Minley Road, Blackwater""",484307,156847,https://publicaccess.hart.gov.uk/online-applications/,3.4,Not owned by a public authority,,permissioned,,,,102,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/03072/PRIOR,"""White Hart House, London Road, Blackwater""",485274,159873,https://publicaccess.hart.gov.uk/online-applications/,0.16,Not owned by a public authority,,permissioned,,,,18,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/01111/FUL,"""Land to the rear of Acorn House, Elms Road, Hook""",472461,154304,https://publicaccess.hart.gov.uk/online-applications/,0.18,Not owned by a public authority,,permissioned,,,,5,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/02201/REM,"""Winkworth Business Park, Hartley Wintney""",475184,155324,https://publicaccess.hart.gov.uk/online-applications/,0.5,Not owned by a public authority,,permissioned,,,,5,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,14/02942/FUL,"""Land to the rear of Chantryland, New Road, Eversley""",479507,161274,https://publicaccess.hart.gov.uk/online-applications/,0.36,Not owned by a public authority,,permissioned,,,,6,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/00230/FUL,"""Fleet Autos, St James Road, Fleet""",480608,153809,https://publicaccess.hart.gov.uk/online-applications/,0.05,Not owned by a public authority,,permissioned,,,,5,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/02977/FUL,"""Clare Park Private Retirement Residences Ltd, Clare Park""",480660,147868,https://publicaccess.hart.gov.uk/online-applications/,2.15,Not owned by a public authority,,permissioned,,,,6,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/02225/FUL,"""32 Reading Road, Fleet""",480710,153789,https://publicaccess.hart.gov.uk/online-applications/,0.03,Not owned by a public authority,,permissioned,,,,6,,,,,2017-12-22,2017-12-22,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/hart,Hart District Council,14/02454/PNDW,"""Branksome Chambers, Branksomewood Road, Fleet""",480783,154199,https://publicaccess.hart.gov.uk/online-applications/,0.08,Not owned by a public authority,,permissioned,,,,5,,,,,2017-12-22,2017-12-22,,,
