address,address-text,deliverable,end-date,entry-date,hazardous-substances,hectares,latitude,longitude,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,site-plan-url,start-date
,,,,,,,,,,,,,,,,,,,,,,"Ex-garage site at
Naseby Square/ Newcombe St.,   M'k't Harborough",473341.868724,286571.504575,Naseby Square,0.46,,,,,,,,,,,,2017 11 07,,,,
,,,,,,,,,,,,,,,,,,,,,,"Former Travis Perkins site, Clarence Street, M'k't Harborough",473879.307035,287342.622364,Clarence Street,0.38,,,,,,,,,,,Application                                      (ref 17/00686/FUL) for erection of 44 retirement living apartments,2017 11 07,,,,
,,,,,,,,,,,,,,,,,,,,,,"Former Harboro' Rubber site, 124 - 128, St Mary's Rd, M'k't Harborough",473928.271834,287241.158759,Former Harboro' Rubber site,0.43,,,,,,,,,,,Application for 3 sites (ref 16/01663/FUL) for 73 houses & apartments + change of use of vacant flour mill to offices,2017 11 07,,,,
,,,,,,,,,,,,,,,,,,,,,,West of footbridge Rockingham Road M'k't Harborough,,,Rockingham Road,0.14,,,,,,,,,,,Application for 3 sites (ref 16/01663/FUL) for 73 houses & apartments + change of use of vacant flour mill to offices,2017 11 07,,,,
,,,,,,,,,,,,,,,,,,,,,,"Merrie Monk,       38 Station Road, Dunton Bassett",455333.490096999,290794.970717,"Merrie Monk, Dunton Bassett",0.18,,,,,,,,,,,Permission                                       (ref 16/01978/FUL) for one pair of semi-detached dwellings (Resubmission of 14/00367/FUL),2017 11 07,,,,
,,,,,,,,,,,,,,,,,,,,,,"Old Station Yard, Rockingham Rd, n'r Great Easton",,,"Old Station Yard, n'r Great Easton",0.96,,,,,,,,,,,Permission (ref 13/00621/OUT) refused because  site removed from the settlement boundary in open countryside,2017 11 07,,,,
,,,,,,,,,,,,,,,,,,,,,,"Midland Handling Equipment Ltd., Stretton Road, Great Glen",,,"Stretton Road, Great Glen",0.75,,,,,,,,,,,Lapsed planning consent (ref. 05/01168/FUL) for 8 units.,2017 11 07,,,,
,,,,,,,,,,,,,,,,,,,,,,"Land at          Fishers Farm, Main Street,  Foxton",,,"Fishers Farm, Foxton",0.75,,,,,,,,,,,Application                                      (ref 16/01459/OUT) for development of up to 12 dwellings,2017 11 07,,,,
,,,,,,,,,,,,,,,,,,,,,,"Garden Centre adjacent to            80 Dunton Road, Broughton Astley",,,"Garden Centre, Broughton Astley",0.40.,,,,,,,,,,,,2017 11 07,,,,
,,,,,,,,,,,,,,,,,,,,,,"Self Unlimited East Midlands Region, Melton Road, Shangton",,,"Melton Road, Shangton",2.90.,,,,,,,,,,,Permission                                          (ref 16/00034/OUT) for up to 27 dwellings with associated garages etc.,2017 11 07,,,,
,,,,,,,,,,,,,,,,,,,,,,"Clover Court, Hearth Street, Market Harborough",,,"Clover Court, Hearth Street",0.26,,,,,,,,,,,Permission (ref 15/01342/FUL) for demolition of sheltered housing scheme and erection of 11 bungalows,2017 11 07,,,,
,,,,,,,,,,,,,,,,,,,,,,"7 - 35               Knights Close,        Billesdon",,,"Knights Close, Billesdon",0.44,,,,,,,,,,,Permission (ref  15/01127/FUL) for 18 units of affordable housing on site of  sheltered accommodation,2017 11 07,,,,
,,,,,,,,,,,,,,,,,,,,,,"Former railway station, Station Street, Kibworth Beauchamp",,,"Former railway station, Kibworth Beauchamp",0.67,,,,,,,,,,,Permission (ref  15/00787/FUL) for proposed erection of 26 dwellings,2017 11 07,,,,
,,,,,,,,,,,,,,,,,,,,,,"Car/lorry park, Gaulby Road, Billesdon",471843.852628,302203.584623,"Car/lorry park, Gaulby Road, Billesdon",0.22,,,,,,,,,,,Site forms access to a larger site subject to withdrawn proposal (ref. 12/01783/FUL) for 70 units on greenfield site,2017 11 07,,,,
