address,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0068,"""Chestnuts Service Garage, Crays Hill, Billericay, Essex. CM11 2YA""",0.474195,51.603641,https://www.basildon.gov.uk/media/8690/BLR/pdf/BLR.pdf,0.1,not owned by a public authority,,permissioned,full planning permission,23/01/2018,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,9,9,9,yes,Planning Permission granted. Works have not commenced. Permission expires 23/01/2021. Only to be removed once expired or completed. Deliverable within 1 year. 20/09/18. 07/08/19.,20/09/2018,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0069,"""Pembroke House, 11 Northlands Pavement, Pitsea, Essex. SS13 3DX""",0.504271,51.566464,https://www.basildon.gov.uk/media/8691/BLR/pdf/BLR.pdf,0.18,not owned by a public authority,,permissioned,other,10/06/2016,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,32,32,32,yes,Prior Approval granted. Works have not commenced. Permission expires 10/06/2021. Only to be removed once expired or completed. Deliverable within 2 years. 20/09/18. 07/08/19.,20/09/2018,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0071,"""1 - 29 Lower Southend Road, Wickford, Essex.""",0.524594,51.614285,https://www.basildon.gov.uk/media/8693/BLR/pdf/BLR.pdf,0.34,not owned by a public authority,,permissioned,full planning permission,14/05/2010,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,117,117,117,,Planning Permission granted. Works commenced. Only to be removed once completed. Deliverable within 6 years. 62 dwellings have been completed. 20/09/18. 07/08/19.,20/09/2018,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0072,"""Acorn House, Great Oaks, Basildon. SS14 1AH""",0.458227,51.571771,https://www.basildon.gov.uk/media/8683/BLR/pdf/BLR.pdf,0.14,not owned by a public authority,,permissioned,other,25/03/2019,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,86,86,86,yes,Planning Permission granted. Works have not commenced. Permission expires 25/03/2024. Only to be removed once expired or completed. Deliverable within 3 years. See also BAS0061 & BAS0073 as duplicate permisions for same site. 07/08/19.,07/08/2019,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0073,"""Acorn House, Great Oaks, Basildon. SS14 1AH""",0.458227,51.571771,https://www.basildon.gov.uk/media/8683/BLR/pdf/BLR.pdf,0.14,not owned by a public authority,,permissioned,other,25/03/2019,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,76,76,76,yes,Planning Permission granted. Works have not commenced. Permission expires 25/03/2024. Only to be removed once expired or completed. Deliverable within 3 years. See also BAS0061 & BAS0072 as duplicate permisions for same site. 07/08/19.,07/08/2019,07/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0074,"""Dunton Grange, Lower Dunton Road, Brentwood, CM13 3SL""",0.390963,51.575104,https://www.basildon.gov.uk/media/9722/BLR/pdf/BLR.pdf,0.67,not owned by a public authority,,not permissioned,,,,15,15,19,,Deliverable within 7 years. 09/08/19.,09/08/2019,09/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0075,"""Land at Friern Farm House, Lower Dunton Road, Basildon, CM13 3SL""",0.389593,51.578711,https://www.basildon.gov.uk/media/9723/BLR/pdf/BLR.pdf,0.65,not owned by a public authority,,not permissioned,,,,15,15,18,,Deliverable within 7 years. 09/08/19.,09/08/2019,09/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0076,"""Unit 1, Great Oaks, SS14 1GB""",0.462201,51.572137,https://www.basildon.gov.uk/media/9724/BLR/pdf/BLR.pdf,0.37,not owned by a public authority,,not permissioned,,,,90,90,98,,Deliverable within 7 years. 09/08/19.,09/08/2019,09/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0077,"""Milk & More, Time Square, Southernhay, Basildon SS14 1DJ""",0.45307,51.568731,https://www.basildon.gov.uk/media/9725/BLR/pdf/BLR.pdf,0.2,not owned by a public authority,,not permissioned,,,,49,49,53,yes,Deliverable within 5 years. 12/08/19.,12/08/2019,12/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0078,"""28-62 East Walk and 36-44 Southernhay, Basildon SS14 1HH""",0.461182,51.57036,https://www.basildon.gov.uk/media/9726/BLR/pdf/BLR.pdf,0.27,not owned by a public authority,,pending decision,full planning permission,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,66,66,71,,Deliverable within 6 years. 12/08/19.,12/08/2019,12/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0079,"""Four Oaks Farm, Cranfield Park Road, Wickford SS12 9LE""",0.537374,51.591751,https://www.basildon.gov.uk/media/9727/BLR/pdf/BLR.pdf,0.67,not owned by a public authority,,permissioned,full planning permission,26/07/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,4,4,4,yes,Planning permission granted. Works have not commenced. Permission expires 26/07/2020. Only to be removed once expired or completed. Deliverable within 1 year. 12/08/19.,12/08/2019,12/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0080,"""The Belvedere, Hardings Elms Road, Crays Hill CM11 2UH""",0.462132,51.595413,https://www.basildon.gov.uk/media/9728/BLR/pdf/BLR.pdf,1.64,not owned by a public authority,,permissioned,full planning permission,11/02/2019,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,23,23,23,yes,Planning permission granted. Works have not commenced. Permission expires 11/02/2022. Only to be removed once expired or completed. Deliverable within 2 years. 12/08/19.,12/08/2019,12/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0081,"""107 Laindon Road, Billericay CM12 9LG""",0.417632,51.617202,https://www.basildon.gov.uk/media/9729/BLR/pdf/BLR.pdf,0.34,not owned by a public authority,,permissioned,full planning permission,01/06/2018,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,32,32,32,yes,Planning permission granted. Works have commenced. To be removed once completed. Deliverable within 2 years. 12/08/19.,12/08/2019,12/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0082,"""18 High Street, Wickford SS12 9AF""",0.52114,51.613028,https://www.basildon.gov.uk/media/9730/BLR/pdf/BLR.pdf,0.12,not owned by a public authority,,permissioned,full planning permission,20/09/2018,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,18,18,18,yes,Planning permission granted. Works have not commenced. Permission expires 20/09/2021. Only to be removed once expired or completed. Deliverable within 2 years. 12/08/19.,12/08/2019,12/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0083,"""Phoenix Place, Christopher Martin Road, Basildon SS14 3GQ""",0.495179,51.591378,https://www.basildon.gov.uk/media/9731/BLR/pdf/BLR.pdf,0.07,not owned by a public authority,,permissioned,other,01/07/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,27,27,27,yes,Prior Approval Granted. Works have not commenced. Permission expires 01/09/2022. Only to be removed once expired or completed. Deliverable within 2 years. 12/08/19.,12/08/2019,12/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0084,"""Rylands Hostel, Nevendon Road, Wickford SS12 9AT""",0.519695,51.610937,https://www.basildon.gov.uk/media/9732/BLR/pdf/BLR.pdf,0.18,not owned by a public authority,,permissioned,full planning permission,11/04/2018,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,30,30,30,yes,Planning permission granted. Works have commenced. Only to be removed once completed. Deliverable within 2 years. 12/08/19.,12/08/2019,12/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0085,"""Hawkley House, 24 - 26 Chapel Street, Billericay CM12 9LU""",0.418191,51.624997,https://www.basildon.gov.uk/media/9733/BLR/pdf/BLR.pdf,0.05,not owned by a public authority,,permissioned,other,19/12/2018,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,7,7,7,yes,Prior Approval granted. Works have commenced. Only to be removed once completed. Deliverable within 1 year. 12/08/19.,12/08/2019,12/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0086,"""Church Walk House, Church Walk, Basildon SS14 1EH""",0.456397,51.571009,https://www.basildon.gov.uk/media/9734/BLR/pdf/BLR.pdf,0.11,not owned by a public authority,,not permissioned,,,,26,26,29,yes,Deliverable within 5 years. 21/08/19.,21/08/2019,21/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0087,"""Land South of London Road, Billericay""",0.399414,51.624834,https://www.basildon.gov.uk/media/9735/BLR/pdf/BLR.pdf,0.99,not owned by a public authority,,not permissioned,,,,28,28,28,,Site area from HELAA reduced to Brownfield land only.  Deliverable within 8 years. 21/08/19.,21/08/2019,21/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0088,"""Billericay Lawn Tennis Club, Blunts Wall Road, Billericay CM12 9SA""",0.402397,51.623586,https://www.basildon.gov.uk/media/9736/BLR/pdf/BLR.pdf,0.82,not owned by a public authority,,not permissioned,,,,23,23,23,,Site area from HELAA reduced to Brownfield land only.  Deliverable within 8 years. 21/08/19.,21/08/2019,21/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0089,"""Valerie Lodge, High Road, Basildon SS16 4TG""",0.49435,51.562006,https://www.basildon.gov.uk/media/9737/BLR/pdf/BLR.pdf,0.08,owned by a public authority,,permissioned,full planning permission,27/03/2019,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,10,10,10,yes,Planning permission granted. Works have commenced. Only to be removed once completed. Deliverable within 1 year. 22/08/19.,22/08/2019,22/08/2019,
