address,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0023,"""Roman Way, Billericay. CM12 9LJ""",0.418258,51.619195,https://www.basildon.gov.uk/media/8557/BLR/pdf/BLR.pdf,0.51,owned by a public authority,,permissioned,full planning permission,15/02/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,-15,-15,-15,yes,Planning Permission granted. Works have commenced. Only to be removed once completed. 30no. existing dwellings. Deliverable within 2 years. 07/08/17. 24/08/18. 06/08/19.,07/08/2017,06/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0024,"""Cedar Avenue, Wickford""",0.518132,51.603317,https://www.basildon.gov.uk/media/8558/BLR/pdf/BLR.pdf,0.16,owned by a public authority,,permissioned,full planning permission,24/04/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,4,4,4,yes,Planning Permission granted. Works have not commenced and permission expires 24/04/2020. Only to be removed once completed or expired.  Deliverable within 1 year. 07/08/17. 24/08/18. 06/08/19.,07/08/2017,06/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0025,"""Glenmere, Basildon. SS16 4QR""",0.479708,51.554915,https://www.basildon.gov.uk/media/8559/BLR/pdf/BLR.pdf,0.13,owned by a public authority,,permissioned,full planning permission,08/11/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,5,5,5,yes,Planning permission granted. Works have commenced. Only to be removed once completed. Deliverable within 1 year. 09/11/17. 24/08/18. 06/08/19.,07/08/2017,06/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0026,"""Littlethorpe, Basildon. SS16 4LH""",0.489033,51.56124,https://www.basildon.gov.uk/media/8560/BLR/pdf/BLR.pdf,0.51,owned by a public authority,,not permissioned,,,,7,7,16,yes,Deliverable within 4 years. 7no. existing dwellings. 07/08/17. 24/08/18. 21/08/19.,07/08/2017,21/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0027,"""Pitsea Housing Office/The Place, Northlands Pavement, Basildon. SS13 3DU""",0.503796,51.566913,https://www.basildon.gov.uk/media/8561/BLR/pdf/BLR.pdf,0.71,owned by a public authority,,not permissioned,,,,17,17,31,yes,Deliverable within 4 years. 07/08/17. 24/08/18. 21/08/19.,07/08/2017,21/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0028,"""Swan Mead Centre, Church Road, Basildon. SS16 4AG""",0.474641,51.568143,https://www.basildon.gov.uk/media/8562/BLR/pdf/BLR.pdf,0.32,owned by a public authority,,not permissioned,,,,9,9,10,yes,Site area from HELAA reduced to Brownfield land only. Deliverable within 4 years. 07/08/17. 24/08/18. 21/08/19.,07/08/2017,21/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0029,"""St Chad's Church, Clay Hill Road, Basildon""",0.486281,51.56031,https://www.basildon.gov.uk/media/8563/BLR/pdf/BLR.pdf,0.42,owned by a public authority,,not permissioned,,,,11,11,18,yes,Deliverable within 4 years. 07/08/17. 24/08/18. 21/08/19.,07/08/2017,21/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0030,"""Garages located at Downey Close, Basildon. SS14 2NF""",0.47199,51.574863,https://www.basildon.gov.uk/media/8564/BLR/pdf/BLR.pdf,0.17,owned by a public authority,,not permissioned,,,,5,5,5,yes,Deliverable within 3 years. 07/08/17. 31/08/18. 21/08/19.,07/08/2017,21/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0031,"""Garages located at Great Knightleys and Swan Close, Basildon. SS15 5GE""",0.441382,51.573058,https://www.basildon.gov.uk/media/8566/BLR/pdf/BLR.pdf,0.22,owned by a public authority,,not permissioned,,,,5,5,7,yes,Deliverable within 3 years. 07/08/17. 31/08/18. 21/08/19.,07/08/2017,21/08/2019,
,http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0032,"""Garages to the south of 13 Falstones, Basildon. SS15 5BU""",0.445631,51.571018,https://www.basildon.gov.uk/media/8565/BLR/pdf/BLR.pdf,0.19,owned by a public authority,,not permissioned,,,,4,4,6,yes,Deliverable within 3 years. 07/08/17. 31/08/18. 21/08/19.,07/08/2017,21/08/2019,
