address,address-text,deliverable,end-date,entry-date,hazardous-substances,hectares,latitude,longitude,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,site-plan-url,start-date
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR1,"Deans Yard, South Road, Baldock",525107.28,233548.95,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Baldock%20Sites.pdf,0.32,not owned by a public authority,,Not permissioned,,,,20,,20,,,2017-12-31,2018-12-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR2,"Land at Icknield Way, Baldock",524255.73,234137.17,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Baldock%20Sites.pdf,0.52,not owned by a public authority,,Not permissioned,,,,26,,26,,,2017-12-31,2018-12-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR5,"Former B&Q, at junction of Nightingale and Walsworth Road, Hitchin",519255.59,229763.25,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Hitchin%20Sites.pdf,0.68,not owned by a public authority,,Not permissioned,,,,60,,60,,,2017-12-31,2018-12-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR8,"Chas Lowe, London Road, Knebworth",525122.24,220165.17,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Knebworth%20Sites.pdf,0.41,not owned by a public authority,,Not permissioned,,,,14,,14,,,2017-12-31,2018-12-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR9,"Pixmore Centre, Pixmore Avenue, Letchworth",522467.85,232957.68,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,0.39,not owned by a public authority,,Not permissioned,,,,31,,31,,,2017-12-31,2018-12-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR10,"Freeman House, Radburn Way, Letchworth",522819.66,232146.65,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,0.31,public authority,,Permissioned,,,,8,,,,,2017-12-31,2018-12-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR11,"Foundation House, Icknield Way, Letchworth",522491.20,233389.39,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,0.78,not owned by a public authority,,Not permissioned,,,,47,,47,,,2017-12-31,2018-12-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR12,"Glebe Road industrial estate, Letchworth",522294.87,233371.86,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,0.26,not owned by a public authority,,Pending decision,,,,9,,9,,,2017-12-31,2018-12-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR13,"Hamonte, Letchworth",523093.21,231817.53,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,1.16,not owned by a public authority,,Permissioned,,,,30,,,,,2017-12-31,2018-12-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR14,"Nursery, Icknield Way, Letchwoth",521402.18,232780.77,https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,0.43,not owned by a public authority,,Not permissioned,,,,8,,8,,,2017-12-31,2018-12-31,,,
