address,address-text,deliverable,end-date,entry-date,hazardous-substances,hectares,latitude,longitude,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,site-plan-url,start-date
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,1,"Boal Quay, Boal Street, King's Lynn",561781,319498,,4.13,owned by a public authority,Yes,not permissioned,,,,,,50,,South of site - WDPS/3800 - HARDINGS PITS WASTE SITE 2/96/1475/O Comprehensive development of the land including housing marina facilities cinema hotel shops restaurants and associated car parking together with necessary engineering and highways works,31/10/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,2,"South Quay, King's Lynn",561702,319679,,0.49,owned by a public authority,Unknown,permissioned,,,,,,350,,"14/00534/FM - Erection of retirement living housing for the elderly (Cat II type accommodation), communal facilities, landscaping and car parking",31/10/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,3,Hardings Pits Wisbech Road King's Lynn Norfolk,561928,319193,,3.8,owned by a public authority,Yes,not permissioned,,,,,,50,,Site in WDPS/3800 HARDINGS PITS WASTE SITE,31/10/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,4,"South Gates, King's Lynn, Norfolk",562157,319082,,0.19,not owned by a public authority,Unknown,not permissioned,,,,,,20,,,13/11/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,5,"Land at Bankside,West Lynn, Norfolk",561293,320125,,2.58,not owned by a public authority,Unknown,not permissioned,,,,,,120,,,31/10/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,6,"Land off Globe Street / St George's Court, Methwold",573018,295001,,0.51,not owned by a public authority,Unknown,permissioned,,,,,,5,,16/00611/F - Erection of 5 new dwellings being phase 2 of the redevelopment of a former coal yard and paddock Awaiting decision on minor amendments made to plans and elevations during building regulation stage 19/01809/F. Development started 05/08/2019 -development has not been completed yet. (17/10/19) Application received 18/10/19,31/10/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,7,"Land Between Bramcote House And Village Hall, Lynn Road, Stoke Ferry",570414,300095,,1.16,not owned by a public authority,Unknown,permissioned,,,,,,29,,"16/00493/FM- Proposed residential development (29 dwellings) with minor demolition of former opening in boundary wall for access to plot 24. To include parking and access to existing village hall. 17/00469/NMA_1 - App for a non material amendment to planning permission: variation of conditions 8,9,14,21, and 29 of permission 16/00493/FM. Proposed residential development (29 dwellings) with minor demolition of former opening in boundary wall for access to plot 24.",31/10/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,8,"St Johns Road, Tilney St Lawrence",554440,314166,,3.35,not owned by a public authority,Unknown,not permissioned,,,,,,23,,11/01923/OM - Outline Planning Permission for Residential Development - Lapsed 2016-01-24 Appeal Allowed 12/00035/REF- 24/01/2013,31/10/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,9,"Former Three Tuns / Village Hall, Welney",552821,293746,,0.25,not owned by a public authority,Unknown,permissioned,,,,,,7,,2/03/1210/F - Construction of 7 terraced houses,31/10/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,10,"Site at Gayton Mill, Gayton",573296,319285,,1.15,not owned by a public authority,Unknown,permissioned,,,,,,33,,17/02233/OM - Redevelopment of former industrial site for housing,31/10/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,11,"Fairfield Industrial Estate,Fairfield Road, Downham Market",560244,303416,,0.11,not owned by a public authority,Unknown,not permissioned,,,,,,5,,,04/11/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,12,"Former Granaries Site, Station Road, Docking",576473,337787,,2.69,not owned by a public authority,Unknown,permissioned,,,,,,77,,16/00654/FM - Construction of 77 dwellings and ancillary buildings Variation of condition 2 of planning permission 19/0165/F Development started October 2018- not completed yet,15/11/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,13,"Short Drove, Downham Market",561445,303830,,0.35,not owned by a public authority,Unknown,permissioned,,,,,,21,,05/01857/RMM - Reserved Matters Application: Construction of 21 dwellings with car parking,15/11/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,14,"Land Between Railway Road And Richmond Road, Downham Market",560597,302969,,3.34,not owned by a public authority,Unknown,permissioned,,,,,,97,,13/01164/FM - Residential Development of 97 dwellings with public open space (including demolition of existing dwelling),15/11/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,15,"Jim Russell Garage, London Road, Downham Market",302506,561162,,302506,not owned by a public authority,Unknown,permissioned,,,,,,23,,13/01855/FM - Substitution of house types 07/02069/FM - Construction of 23 flats and 8 chalet bungalows following demolition of existing buildings,15/11/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,16,"Allens Garage, Lynn Road, Gayton",572412,319501,,0.15,not owned by a public authority,Unknown,permissioned,,,,,,10,,15/01776/OM AND 17/02355/RMM - Reserved Matters Application for 10 detached/linked detached dwellings,15/11/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,17,"Holiday Flats & Former Holiday Chalet Site, Manor Road, Hunstanton",567216,340061,,0.64,not owned by a public authority,Unknown,permissioned,,,,,,39,,04/00874/F - Construction of 4 blocks of flats and maisonettes- totalling 39 after demolition of 1 block of 8 flats Discharge of condition 1 - 27/04/17,15/11/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,18,"The Old Chapel, John Kennedy Road, King's Lynn",561975,320616,,0.08,not owned by a public authority,Unknown,permissioned,,,,,,11,,07/00649/FM - Construction of eleven town houses and two flats after demolition of old chapel showroom -Non Material Amendment to Planning Consent 07/00649/NMAM_1,15/11/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,19,"Former Head Post Office, Blackfriars Street, King's Lynn",561972,320017,,0.23,not owned by a public authority,Unknown,permissioned,,,,,,27,,"14/00589/F - Variation of Condition 14 attached to planning consent 13/01088/FM to allow alternative uses of parts of the site. 13/01088/FM - Change of use from a Post Office and Telephone Exchange to a development comprising Retail, Office, Health Facility and Residential Use. The Residential use comprises 27 one & two bed units. The development includes the replacement of the single storey building in the north east corner of the site and the addition of an additional storey to the Paradise Road wing.",15/11/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,20,"Land North West of St Nicholas Business Park, Edward Benefer Way, King's Lynn",562144,321182,,2.4,not owned by a public authority,Unknown,permissioned,,,,,,95,,16/01225/RMM - Reserved Matters Application: construction of 95 dwellings,15/11/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,21,"Limes House, Purfleet Street, King's Lynn",561699,320035,,0.48,not owned by a public authority,Unknown,permissioned,,,,,,12,,15/01709/FM - Proposed change of use for development of 17 flats at the first and second floor with bin and cycle store at ground floor. Creation of roof terrace and retention of existing occupied office/retail space at ground floor.18/01643/F VARIATION OF CONDITIONS 2 AND 7 of planning permission 15/01709/FM.,15/11/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,22,"Plaxtole House, 70 Goodwins Road,, King's Lynn",562759,319480,,0.81,not owned by a public authority,Unknown,permissioned,,,,,,12,,15/01234/OM - OUTLINE APPLICATION WITH ALL MATTERS RESERVED: Demolition of existing buildings and redevelopment for residential use,15/11/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,23,"A J Coggles, 44 London Road, King's Lynn",562309,319354,,0.15,not owned by a public authority,Unknown,permissioned,,,,,,11,,11/01945/FM -Conversion of existing building to provide 3 dwellings and construction of 8 new dwellings Development has started- Application for approval of details reseved by condition 04/11/19,15/11/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,24,"Greyfriars House, Birch Tree Close, King's Lynn",562304,319650,,0.34,not owned by a public authority,Unknown,permissioned,,,,,,24,,14/01250/FM - Construction of 24 no. flats (8 no. one bed 2 person flats and 16 no. two bed 4 person flats) following demolition of existing office building.,15/11/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/doc/district-council/west-norfolk,,25,"Hillgate Nurseries, Hillgate Street, Terrington St Clement",554359,320148,,2.3,not owned by a public authority,Unknown,permissioned,,,,,,41,,16/00471/RMM - Reserved Matters Application: construction of 41 dwellings and associated works 16/00467/FM - Erection of 10 dwellings,16/11/2017,17/12/2019,,,
