address,address-text,deliverable,end-date,entry-date,hazardous-substances,hectares,latitude,longitude,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,site-plan-url,start-date
,,,,,,,,,,,,,,,,,,,,,,"The Council House, Burcot Lane, Bromsgrove",398856,271440,,1.213,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"The Birches, New Road, Bromsgrove, B60 2LB",396627,269830,,0.32,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Polymer Latex, Stoke Prior, Bromsgrove",394552,288474,,8.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"7&9 Worcester Road, Bromsgrove",38995,279775,,0.239,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Land Adjacent To 145 , Perryfields Road Bromsgrove",395111,271919,,0.27,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"The Greyhound, 30 Rock Hill, Bromsgrove, B61 7LR",395144,269751,,0.28,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"50,52 & 54 Rear of Red Lion Street, Alvechurch",402739,272841,,0.25,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"The Retreat, Curr Lane, Upper Bentley, Worcestershire",400390,267409,,0.81,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Finstall Training Centre, Stoke Road, Bromsgrove",396584,269318,,0.48,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"3-5 High Street, Bromsgrove",395836,270646,,5.87,,,,,,,,,,,,,,,,
