address,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,Wigan Council,,SHLAA0035,,367562.7464,403362.8627,,0.80129598,,,,,,,37,,,,"A/18/85712 refers, Rosedale Avenue/Water Street  Atherton",Apr-16,Nov-18,
,Wigan Council,,SHLAA0056,,358981.6941,405984.5058,,0.259401687,,,,,,,18,,,,", Land at Coop Street Scholes Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0195,,353634.8917,404925.0623,,0.305647515,,,,,,,17,,,,"A/15/81816 refers, Corporation Yard Orrell Road Orrell",Apr-16,Nov-18,
,Wigan Council,,SHLAA0253,,357917.7858,404587.8536,,0.273252053,,,,,,,23,,,,"A/16/83089 refers, Shanghai Palace Poolstock Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0018,,355558.3517,406001.8735,,0.148535024,,,,,,,8,,,,", Corner Kitt Green Road and Pembroke Road Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0287,,356358.4325,406813.9956,,0.113137128,,,,,,,14,,,,", Former Keepers Inn Woodhouse Lane Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0322,,357606.2368,405781.9668,,0.644896109,,,,,,,69,,,,", Land at Frog Lane and Prescott Street Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0075,,353326.0114,405080.3827,,0.332294213,,,,,,,21,,,,", Land adjacent to 234 Orrell Road Orrell",Apr-16,Nov-18,
,Wigan Council,,SHLAA0309,,360500.0846,398028.4398,,0.127391487,,,,,,,18,,,,"A/14/79339 refers, Site Of 86 To 94 High Street Golborne",Apr-16,Nov-18,
,Wigan Council,,SHLAA0012A,,360247.4438,405651.9247,,0.73996611,,,,,,,22,,,,", Belle Green Industrial Estate and adjacent land Belle Green Lane Ince",Apr-16,Nov-18,
,Wigan Council,,SHLAA0064A,,359645.4383,403685.6028,,0.299115542,,,,,,,9,,,,", Former Ince St Marys CE Primary School Derby Street Ince",Apr-16,Nov-18,
,Wigan Council,,SHLAA0046,,369141.4248,403017.1555,,0.229249783,,,,,,,41,,,,"A/17/84075 refers, Lancaster Avenue Tyldesley",Apr-16,Nov-18,
,Wigan Council,,SHLAA0355,,360734.1545,403330.5384,,0.388888556,,,,,,,18,,,,"A/15/81702 refers, Land Off Liverpool Road Platt Bridge Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0356,,360766.5373,403242.7471,,0.6498477,,,,,,,20,,,,", Remaining land at Springbank Ind Est Liverpool Road Platt Bridge Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0002,,362458.1404,403175.4697,,109.0177816,,,,,,,2000,,,,"A/18/85784 refers, South of Hindley Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0237,,356510.9386,406664.2932,,0.584642403,,,,,,,17,,,,", Land Corner of Whitworth Way Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0200,,365832.2016,399612.3405,,9.866946579,,,,,,,372,,,,"A/15/80681 refers, Bridgewater Business Park West Bridgewater Street Leigh",Apr-16,Nov-18,
,Wigan Council,,SHLAA0074,,361286.7154,403885.3297,,0.246399867,,,,,,,11,,,,", Land at Liverpool Road and Harper Street Hindley",Apr-16,Nov-18,
,Wigan Council,,SHLAA0348,,359801.2857,405349.554,,0.145743468,,,,,,,11,,,,"A/16/81943 refers, Higher Ince Social Club Empress Ind Est Anderton Street Ince",Apr-16,Nov-18,
,Wigan Council,,SHLAA0187,,358103.8951,405469.5147,,0.105580124,,,,,,,20,,,,"A/16/81981 refers, Tower Buildings And 58-58a And 60 Wallgate Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0131,,357685.2531,405014.3641,,5.695786505,,,,,,,310,,,,"A/08/70960 refers, Eckersley Mill Swan Meadow Road Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0135,,356897.8,410969.511,,5.609734929,,,,,,,163,,,,"A/17/85026 refers, Land At Bradley Hall Trading Estate Bradley Lane Standish",Apr-16,Nov-18,
,Wigan Council,,SHLAA0126,,357894.308,406621.6936,,3.364656354,,,,,,,395,,,,", Wigan and Leigh College Pagefield Building Bridgeman Terrace Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0078,,354205.4814,404716.4527,,2.01903714,,,,,,,61,,,,", Former Abraham Guest High School Orrell Road Orrell",Apr-16,Nov-18,
,Wigan Council,,SHLAA0128,,357485.2447,405853.9751,,1.85443263,,,,,,,60,,,,"A/16/83282 refers, Land adj to Frog Ln Depot (former fork lift truck company) Frog Ln Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0031,,371239.8688,401044.7321,,0.663622182,,,,,,,15,,,,"A/16/83156 refers, Land adjacent Holy Family RC Church Astley",Apr-16,Nov-18,
,Wigan Council,,SHLAA0310,,359359.2167,404795.3155,,0.082957614,,,,,,,10,,,,", Incefield House 234 Ince Green Lane Ince Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0362,,357425.1676,406411.2461,,0.397639594,,,,,,,31,,,,"A/16/82916 refers, Pagefield Hotel 168 Gidlow Lane Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0360,,359880.7283,404564.3807,,10.79498606,,,,,,,325,,,,"A/13/78163 refers, Land At Wigan Enterprise Park Seaman Way Ince",Apr-16,Nov-18,
,Wigan Council,,SHLAA0171,,365450.0196,400758.6579,,2.228214943,,,,,,,103,,,,"A/15/81063 refers, Former Hilton Park site Atherleigh Way Leigh",Apr-16,Nov-18,
,Wigan Council,,SHLAA0343,,362231.1201,402171.3701,,0.215047131,,,,,,,9,,,,"A/15/81807 refers, Former Bickershaw Methodist Church  Grange Road Bickershaw",Apr-16,Nov-18,
,Wigan Council,,SHLAA0001A,,364642.9971,401983.8022,,15.70058886,,,,,,,162,,,,"A/16/82085 refers, North Leigh Park Nel Pan Lane Leigh",Apr-16,Nov-18,
,Wigan Council,,SHLAA0354,,357959.2615,406984.2461,,0.08229101,,,,,,,8,,,,"A/16/81990 refers, Apollo Printing Services Heeley Street Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0249,,352683.3575,403368.4975,,0.088665757,,,,,,,12,,,,", Hawkins House 1 Cross Lane Billinge",Jul-17,Nov-18,
,Wigan Council,,SHLAA0181,,367160.5301,403475.5953,,0.478133164,,,,,,,15,,,,"A/11/75721 refers, Collier Brook Industrial Estate, Bag Lane, Atherton",Jul-17,Nov-18,
,Wigan Council,,SHLAA0306,,356827.9748,404990.8389,,0.079268972,,,,,,,5,,,,", Site Of 95-101 Ormskirk Road Wigan WN5 9EA",Jul-17,Nov-18,
,Wigan Council,,SHLAA0336,,359623.1267,404921.1224,,0.032968409,,,,,,,6,,,,", 1 The Grove Ince Wigan WN2 2BU",Jul-17,Nov-18,
,Wigan Council,,SHLAA0395,,353164.4582,404545.2548,,0.236731407,,,,,,,7,,,,"Call for sites, Land at 3 Holgate Drive Orrell",Jul-17,Nov-18,
,Wigan Council,,SHLAA0398,,356490.9437,410079.2266,,0.1474455,,,,,,,9,,,,"A/17/83276 refers, Standish Ambulance Station Glebe Close Standish Wigan WN6 0DD",Jul-17,Nov-18,
,Wigan Council,,SHLAA0402,,365364.468,398904.8246,,0.130060904,,,,,,,10,,,,"A/17/84018 refers, Beech Grove House  155 St Helens Road Leigh WN7 3UA",Jul-17,Nov-18,
,Wigan Council,,SHLAA0403,,354578.9821,404308.1775,,0.095701,,,,,,,9,,,,"A/17/84107 refers, 60 Brook Lane Orrell Wigan WN5 8JG",Jul-17,Nov-18,
,Wigan Council,,SHLAA0023,,358521.172,407594.9903,,1.122119955,,,,,,,38,,,,", Leyland Mill, Wigan",Jul-17,Nov-18,
,Wigan Council,,SHLAA0363,,360017.0508,405276.6132,,0.788354758,,,,,,,33,,,,", Pickup Street Ince",Jul-17,Nov-18,
,Wigan Council,,SHLAA0387,,357346.534,400024.5634,,0.276923085,,,,,,,5,,,,"A/15/81226 and A/17/83586 refer, Site Of Former Manse 233 Wigan Road Ashton-In-Makerfield",Jul-17,Nov-18,
,Wigan Council,,SHLAA0374,,364966.7981,400323.9297,,0.213367523,,,,,,,10,,,,"A/16/82624 refers, Open Land North East Of 21 Knowsley Street Leigh",Jul-17,Nov-18,
,Wigan Council,,SHLAA0390,,372262.4127,402004.671,,0.108983475,,,,,,,5,,,,"A/17/83731 refers, The Chapel City Road Worsley",Jul-17,Nov-18,
,Wigan Council,,SHLAA0385,,369000.8532,400849.3446,,0.505684499,,,,,,,32,,,,"A/16/81994 refers, Vyna House North Lane Tyldesley Manchester M29 7AB",Jul-17,Nov-18,
,Wigan Council,,SHLAA0377,,360659.4079,406390.0245,,9.66440784,,,,,,,300,,,,"A/15/81125 refers, Kirkless Industrial Estate Cale Lane Aspull",Jul-17,Nov-18,
,Wigan Council,,SHLAA0386,,363846.2637,402234.2206,,0.098597715,,,,,,,6,,,,"A/15/81669 refers, Mechanics Arms 277 Leigh Road Hindley Green Wigan WN2 4XW",Jul-17,Nov-18,
,Wigan Council,,SHLAA0392,,359326.581,404544.7569,,0.333818303,,,,,,,17,,,,"A/16/82649 refers, Eastdale Old Hall Street Ince Wigan WN3 4QR",Jul-17,Nov-18,
,Wigan Council,,SHLAA0107,,356449.4195,406591.5718,,3.658605388,,,,,,,145,,,,"A/18/85329 refers, Land at Canal Street Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0196,,359013.2883,404708.6137,,0.169771437,,,,,,,11,,,,"A/16/81892 refers, Harvey Street Ince",Apr-16,Nov-18,
,Wigan Council,,SHLAA0347,,358121.3886,404729.9032,,0.039880786,,,,,,,9,,,,"A/15/81648 refers, Site Of And Land To The North Of 52 - 54 Poolstock  Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0134,,358420.298,404443.1716,,28.92649355,,,,,,,429,,,,", Westwood Park Wigan",Apr-16,Nov-18,
,Wigan Council,,SHLAA0026,,358053.6281,399348.3547,,0.296906556,,,,,,,9,,,,", Rockleigh Hotel 50 Bolton Road Ashton-in-Makerfield",Apr-16,Nov-18,
,Wigan Council,,SHLAA0110,,360424.6472,405155.9727,,0.310843627,,,,,,,10,,,,"A/17/84797 refers, Land at former Park Inn public house Manchester Road Higher Ince",Apr-16,Nov-18,
,Wigan Council,,SHLAA0087,,360712.8824,402729.9949,,0.401242174,,,,,,,12,,,,", Land at Woodcock Drive, Platt Bridge",Jul-17,Nov-18,
,Wigan Council,,SHLAA0048,,366088.7559,402278.0707,,3.109204291,,,,,,,42,,,,", Land to west of Lovers Lane, Howe Bridge, Atherleigh",Jul-17,Nov-18,
,Wigan Council,,SHLAA0144,,366924.511,403609.0017,,0.118953618,,,,,,,9,,,,", Albion Inn, 189 Bag Lane, Atherton",Jul-17,Nov-18,
,Wigan Council,,SHLAA0043,,362946.2057,399831.7464,,1.311688056,,,,,,,40,,,,", Land between Crankwood Road and Leeds/Liverpool Canal",Jul-17,Nov-18,
,Wigan Council,,SHLAA0028,,356415.3682,404913.0281,,0.82059577,,,,,,,30,,,,"A/18/85333 refers, Land to rear of 17-51 Heather Grove",Jul-17,Nov-18,
,Wigan Council,,SHLAA0204,,363410.3636,397605.3165,,1.073564271,,,,,,,49,,,,"A/18/86062 refers, The Bungalow, Pocket Nook Lane, Lowton",Jul-17,Nov-18,
,Wigan Council,,SHLAA0349,,358445.7431,405556.8311,,0.218401807,,,,,,,120,,,,", Development South Of Millgate Multi Storey Car Park Millgate",Jul-17,Nov-18,
,Wigan Council,,SHLAA0199,,365310.7332,400130.5072,,0.217892873,,,,,,,22,,,,", Wigan and Leigh College Boughey Street Leigh",Jul-17,Nov-18,
,Wigan Council,,SHLAA0265,,365956.6552,403039.7771,,0.614902717,,,,,,,18,,,,", Hindleys Farm Wigan Road Atherton",Jul-17,Nov-18,
,Wigan Council,,SHLAA0243,,362358.7448,396800.8651,,0.750523555,,,,,,,24,,,,", St Catherine of Siena RC Church Newton Road Lowton",Jul-17,Nov-18,
,Wigan Council,,SHLAA0239,,365103.8961,401490.3174,,0.691758666,,,,,,,19,,,,", Land at Parsonage Farm and Garage Westleigh Lane",Jul-17,Nov-18,
,Wigan Council,,SHLAA0339,,365567.1414,401573.9707,,0.373050054,,,,,,,11,,,,", Land at Briar Grove, Leigh",Jul-17,Nov-18,
