address,address-text,deliverable,end-date,entry-date,hazardous-substances,hectares,latitude,longitude,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,site-plan-url,start-date
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,05/2350.,,575596,156906,,1.1,,,,,,,192,,192,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,16/507471,,575568,156885,,1.55,,,,,,,310,,310,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,17/502432,,575568,156885,,6,,,,,,,190,,295,,,Dec-17,May-19,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,17/504428,,576525,155973,,0.54,,,,,,,48,,48,,,Dec-17,Jun-18,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,H1(13),,575831,155719,,0.24,,,,,,,40,,40,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,15/510179,,575528,155419,,0.7645,,,,,,,65,,65,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,H1(15),,575488,155455,,0.1198,,,,,,,15,,15,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,16/507491,,575555,155399,,0.15,,,,,,,20,,20,,,Dec-17,May-19,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,H1(17),,575550,155004,,0.313,,,,,,,76,,76,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,H1(18),,575994,155963,,0.03172,,,,,,,14,,14,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,H1(19),,576194,155252,,0.03478,,,,,,,5,,5,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,16/505425,,576264,155370,,0.4011,,,,,,,75,,75,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,H1(22),,574518,154880,,0.1235,,,,,,,5,,5,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,H1(25),,575182,154759,,0.5147,,,,,,,15,,15,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,H1(26),,575545,154537,,0.4728,,,,,,,20,,20,,,Dec-17,May-19,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,H1(30),,579795,156134,,0.5092,,,,,,,20,,20,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,H1(52),,576963,152266,,1.83,,,,,,,25,,25,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,16/501263,,570237,147155,,1.91,,,,,,,25,,28,,,Dec-17,May-19,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,H2(2),,575984,157439,,46.73,,,,,,,1300,,1300,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,14/0487,,584072,144487,,1.6,,,,,,,25,,25,,,Dec-17,Jun-18,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,14/500219,,589288,151690,,3.13,,,,,,,64,,64,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,12/0980,,575033,154240,,0.83,,,,,,,27,,27,,,Dec-17,Jun-18,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,13/1709,,573700,154641,,0.49,,,,,,,14,,14,,,Dec-17,Jun-18,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,15/506037,,578088,146118,,0.93,,,,,,,9,,9,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,10/0256,,575220,154120,,6.3,,,,,,,272,,272,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,17/500419,,575973,156176,,0.2,,,,,,,192,,192,,,Dec-17,May-19,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,09/0862,,575623,156992,,0.58,,,,,,,114,,114,,,Dec-17,May-19,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,15/505441,,575316,154023,,2.52,,,,,,,108,,108,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,14/0828,,586916,152511,,4.75,,,,,,,113,,113,,,Dec-17,May-19,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,14/500290,,577916,156465,,3.24,,,,,,,77,,77,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,14/505005,,576354,155786,,0.23,,,,,,,53,,53,,,Dec-17,Jun-18,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,16/503059,,575867,155551,,0.13,,,,,,,44,,44,,,Dec-17,Jun-18,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,16/508694,,576135,155354,,0.22,,,,,,,43,,43,,,Dec-17,Jun-18,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,14/501209,,573853,157466,,5.48,,,,,,,140,,140,,,Dec-17,Jun-19,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,10/1478,,575490,154861,,5.64,,,,,,,35,,35,,,Dec-17,Jun-18,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,16/506325,,575895,155772,,0.08,,,,,,,33,,33,,,Dec-17,May-19,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,14/502152,,589712,152191,,0.93,,,,,,,24,,24,,,Dec-17,Jun-18,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,14/503755,,574185,154871,,0.45,,,,,,,22,,22,,,Dec-17,Jun-18,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,15/504114,,576198,156861,,0.1,,,,,,,18,,18,,,Dec-17,,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,16/501713,,575759,155312,,0.09,,,,,,,17,,17,,,Dec-17,May-19,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,17/506006,,568323,150063,,2.49,,,,,,,16,,16,,,Dec-17,Jun-18,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,PN/14/0027,,576259,155558,,0.05,,,,,,,15,,15,,,Dec-17,Jun-18,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,15/502813,,575513,155652,,0.05,,,,,,,14,,14,,,Dec-17,Jun-18,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,13/1105,,584312,144175,,0.4,,,,,,,14,,14,,,Dec-17,May-19,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,15/505906,,586526,147862,,3.55,,,,,,,14,,14,,,Dec-17,May-19,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,15/500334,,576207,155516,,0.1,,,,,,,14,,14,,,Dec-17,May-19,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,15/502885,,576523,155694,,0.1,,,,,,,14,,14,,,Dec-17,May-19,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,14/505749,,575867,155551,,0.13,,,,,,,14,,14,,,Dec-17,Jun-18,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,17/500623,,576256,155501,,0.07,,,,,,,20,,20,,,Dec-17,May-19,,,
,,,,,,,,,,,,,,,,,,,Maidstone E07000110,,15/502154,,576547,155838,,0.06,,,,,,,14,,14,,,Dec-17,,,,
