address,address-text,deliverable,end-date,entry-date,hazardous-substances,hectares,latitude,longitude,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,site-plan-url,start-date
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 3,,,,,1.24,Public ownership,,Not permissioned,,,,,,,,See constraints column for further information.,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 5,,,,,0.76,Public ownership,,Not permissioned,,,,,,,,"See constraints column for further information.  Part of the site is required for community use, giving a net site area is approx 0.5 ha.",2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 14,,,,,0.14,Not in public ownership,,Permissioned,,,,,,,,See planning history and constraints columns for further information,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 101,,,,,0.99,Public ownership,,Permissioned,,,,,,,,See planning history and constraints columns for further information,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 102,,,,,1.56,Public ownership,,Permissioned,,,,,,,,See planning history and constraints columns for further information,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 111,,,,,0.1,Not in public ownership,,Permissioned,,,,,,,,See planning history and constraints columns for further information.  Consent relates to purpose built student accommodation.,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 118,,,,,0.12,Not in public ownership,,Permissioned,,,,,,,,See planning history and constraints columns for further information,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 124,,,,,0.04,Not in public ownership,,Permissioned,,,,,,,,See planning history and constraints columns for further information,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 131,,,,,0.08,Public ownership,,Not permissioned,,,,,,,,See constraints column for further information. Part of site is not in public ownership.,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 336,,,,,0.07,Not in public ownership,,Permissioned,,,,,,,,See planning history and constraints columns for further information,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 345,,,,,0.03,Not in public ownership,,Permissioned,,,,,,,,See planning history and constraints columns for further information,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 350,,,,,0.05,Not in public ownership,,Permissioned,,,,,,,,See planning history and constraints columns for further information,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 378,,,,,0.02,Not in public ownership,,Permissioned,,,,,,,,See planning history and constraints columns for further information.  Consent relates to purpose built student accommodation only.,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA site 381,,,,,0.17,Not in public ownership,,Pending decision,,,,,,,,See planning history and constraints column.  Consent relates to purpose built student accommodation,3026-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 1906,,,,,0.12,Not in public ownership,,Permissioned,,,,,,,,See planning history and constraints columns for further information,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 2084,,,,,0.24,Public ownership,,Permissioned,,,,,,,,See planning history and constraints columns for further information,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 2088,,,,,0.18,Public ownership,,Permissioned,,,,,,,,See planning history and constraints columns for further information,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 2089,,,,,0.32,Public ownership,,Pending decision,,,,,,,,See planning history and constraints columns for further information,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 2159,,,,,0.11,Not in public ownership,,Permissioned,,,,,,,,See planning history and constraints columns for further information,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 2178,,,,,0.03,Not in public ownership,,Permissioned,,,,,,,,See planning history and constraints columns for further information,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 2187,,,,,0.58,Not in public ownership,,Permissioned,,,,,,,,See planning history and constraints column.  Consent relates to purpose built student accommodation,2016-07-14 00:00:00,2016-07-14,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 2188,,,,,0.17,Not in public ownership,,Pending decision,,,,,,,,See planning history and constraints columns.  Consent relates to purpose built student accommodation.,2016-08-01 00:00:00,2016-08-01,,,
,,,,,,,,,,,,,,,,,,,,Exeter,SHLAA Site 2194,,,,,0.02,Not in public ownership,,Permissioned,,,,,,,,See planning history and constraints columns for further information,2016-07-14 00:00:00,2016-07-14,,,
